,RMSE
0,3.0651679962444853
1,3.0651679962444853
2,3.0651679962444853
3,0.6257222993761486
4,0.6257222993761486
5,0.6257222993761486
6,0.6257222993761486
7,0.6257222993761486
8,0.6257222993761486
9,0.6257222993761486
10,0.6257222993761486
11,0.2490300385330407
12,0.2490300385330407
13,0.2490300385330407
14,0.2490300385330407
15,0.2490300385330407
16,0.2490300385330407
17,0.2490300385330407
18,0.2490300385330407
19,0.21494699458222663
20,0.21494699458222663
21,0.21494699458222663
22,0.21494699458222663
23,0.21494699458222663
24,0.21494699458222663
25,0.21494699458222663
26,0.21494699458222663
27,0.21494699458222663
28,0.21494699458222663
29,0.21494699458222663
30,0.21494699458222663
31,0.21494699458222663
32,0.21494699458222663
33,0.2055800060705275
34,0.2055800060705275
35,0.2055800060705275
36,0.2055800060705275
37,0.1895437831639683
38,0.1895437831639683
39,0.1895437831639683
40,0.1895437831639683
41,0.1895437831639683
42,0.1895437831639683
43,0.1895437831639683
44,0.1895437831639683
45,0.1895437831639683
46,0.1895437831639683
47,0.1895437831639683
48,0.18844384479999865
49,0.18844384479999865
