,真实值,RF_预测,RF_误差率
64,0.588321704002938,0.5883217040029368,0.00%
6,0.595941616233535,0.5959416162335325,0.00%
42,0.597430406852248,0.5974304068522506,0.00%
72,0.573277502854968,0.573277502854967,0.00%
83,0.609294320137694,0.6092943201376928,0.00%
48,0.59245960502693,0.5924596050269312,0.00%
67,0.595203488372093,0.5952034883720928,0.00%
66,0.566297286969813,0.5662972869698136,0.00%
53,0.607355516637478,0.60735551663748,0.00%
40,0.61373092926491,0.6137309292649072,0.00%
79,0.605870020964361,0.6058700209643605,0.00%
62,0.619979402677652,0.6199794026776538,0.00%
24,0.584328358208955,0.5843283582089529,0.00%
82,0.608848314606742,0.6088483146067432,0.00%
104,0.599364631133074,0.5993646311330716,0.00%
49,0.607515657620042,0.6075156576200414,0.00%
106,0.60702875399361,0.6070287539936069,0.00%
61,0.583990980834273,0.5839909808342726,0.00%
109,0.607193229901269,0.6071932299012699,0.00%
107,0.57131931166348,0.5713193116634829,0.00%
65,0.586813186813187,0.586813186813188,0.00%
74,0.616918844566712,0.6169188445667119,0.00%
99,0.598926654740608,0.5989266547406088,0.00%
31,0.617014007516228,0.6170140075162294,0.00%
117,0.597197269134028,0.5971972691340283,0.00%
15,0.594208080085806,0.5942080800858064,0.00%
21,0.577910003718855,0.5779100037188555,0.00%
119,0.615645106671182,0.6156451066711812,0.00%
89,0.615331491712707,0.6153314917127084,0.00%
32,0.58348623853211,0.583486238532107,0.00%
16,0.604026845637584,0.6040268456375807,0.00%
93,0.581643936601548,0.5816439366015506,0.00%
7,0.600216684723727,0.6002375601707977,0.00%
39,0.578285714285714,0.5782857142857128,0.00%
38,0.591362126245847,0.591246700171481,0.02%
63,0.573696145124717,0.5737509693268423,0.01%
11,0.568276911373146,0.5682769113731466,0.00%
34,0.593693367162015,0.5936933671620173,0.00%
29,0.580934579439252,0.5809345794392545,0.00%
88,0.572182434979269,0.5721824349792685,0.00%
57,0.614076844610677,0.6140768446106784,0.00%
68,0.598703170028818,0.5987031700288159,0.00%
114,0.595698924731183,0.5956983420530805,0.00%
8,0.583148558758315,0.5831485587583134,0.00%
37,0.60421052631579,0.6042105263157928,0.00%
96,0.605347593582888,0.6053475935828905,0.00%
80,0.579785264716771,0.5797852647167727,0.00%
60,0.610489510489511,0.610489510489512,0.00%
23,0.569343065693431,0.569343065693431,0.00%
118,0.584660985550204,0.5846609855502019,0.00%
54,0.582458770614693,0.582458770614693,0.00%
33,0.595452905088416,0.5954535525085308,0.00%
47,0.615437392795883,0.615437392795883,0.00%
69,0.59041394335512,0.5904139433551175,0.00%
12,0.602341255764456,0.6023412557644573,0.00%
27,0.585858585858586,0.5858585858585875,0.00%
4,0.58801775147929,0.5880177514792879,0.00%
56,0.616822429906542,0.6168224299065449,0.00%
84,0.580204778156997,0.5802047781569969,0.00%
97,0.612371134020618,0.6123711340206193,0.00%
121,0.587709497206704,0.587709497206703,0.00%
120,0.610901611244429,0.6109016112444293,0.00%
111,0.574809160305344,0.5748091603053459,0.00%
116,0.618407445708376,0.6183766329696281,0.00%
58,0.618493150684932,0.6184931506849302,0.00%
94,0.598476605005441,0.5984766050054418,0.00%
44,0.570238546005301,0.5702385460052998,0.00%
71,0.60439177413733,0.6043917741373293,0.00%
2,0.602730136506825,0.602730136506824,0.00%
5,0.605698206120295,0.6056982061202946,0.00%
14,0.57439446366782,0.5743944636678183,0.00%
87,0.615541922290389,0.61554192229039,0.00%
45,0.608998953610045,0.6090158145120963,0.00%
78,0.612244897959184,0.6122448979591858,0.00%
108,0.602536997885835,0.602536997885835,0.00%
