,真实值,XG_预测,XG_误差率
26,0.584988962472406,0.5935953259468079,1.47%
17,0.567816091954023,0.5688701272010803,0.19%
75,0.575217885562713,0.5747819542884827,0.08%
43,0.590695997115038,0.5961724519729614,0.93%
10,0.603840682788051,0.6047763824462891,0.15%
46,0.610766045548654,0.608588695526123,0.36%
76,0.596960926193922,0.6013259887695312,0.73%
115,0.589543937708565,0.5939047932624817,0.74%
95,0.592190889370933,0.5962584018707275,0.69%
9,0.600849256900213,0.6026370525360107,0.30%
25,0.613963039014374,0.6130656599998474,0.15%
35,0.574108818011257,0.5741069316864014,0.00%
122,0.579418344519016,0.5905728340148926,1.93%
18,0.594950603732163,0.5971977114677429,0.38%
41,0.572852760736196,0.5719365477561951,0.16%
30,0.618577747533175,0.6144301295280457,0.67%
113,0.610348468848997,0.6052711009979248,0.83%
3,0.582806103461109,0.5927774310112,1.71%
90,0.576747720364742,0.586772084236145,1.74%
77,0.61198738170347,0.6089222431182861,0.50%
100,0.601054481546573,0.6047267317771912,0.61%
52,0.576349024110218,0.5812165141105652,0.84%
92,0.581291759465479,0.5913674831390381,1.73%
0,0.6138477437134,0.6091975569725037,0.76%
55,0.577140701622029,0.5904212594032288,2.30%
