,真实值,XG_预测,XG_误差率
12,0.602341255764456,0.602354109287262,0.00%
38,0.591362126245847,0.5912668704986572,0.02%
42,0.597430406852248,0.5973878502845764,0.01%
27,0.585858585858586,0.5856294631958008,0.04%
114,0.595698924731183,0.5956873893737793,0.00%
53,0.607355516637478,0.6073613166809082,0.00%
106,0.60702875399361,0.6069146394729614,0.02%
23,0.569343065693431,0.5694454908370972,0.02%
60,0.610489510489511,0.6104208827018738,0.01%
7,0.600216684723727,0.600235104560852,0.00%
32,0.58348623853211,0.5834621787071228,0.00%
6,0.595941616233535,0.59583979845047,0.02%
104,0.599364631133074,0.59940105676651,0.01%
54,0.582458770614693,0.5826844573020935,0.04%
82,0.608848314606742,0.6087200045585632,0.02%
11,0.568276911373146,0.5683991312980652,0.02%
99,0.598926654740608,0.5988364815711975,0.02%
116,0.618407445708376,0.6180266737937927,0.06%
61,0.583990980834273,0.5839965343475342,0.00%
5,0.605698206120295,0.6059210896492004,0.04%
71,0.60439177413733,0.6045782566070557,0.03%
37,0.60421052631579,0.604067862033844,0.02%
29,0.580934579439252,0.5811750888824463,0.04%
21,0.577910003718855,0.5779210329055786,0.00%
2,0.602730136506825,0.6025919318199158,0.02%
44,0.570238546005301,0.5703412294387817,0.02%
33,0.595452905088416,0.5954360365867615,0.00%
107,0.57131931166348,0.5714483857154846,0.02%
24,0.584328358208955,0.584381103515625,0.01%
87,0.615541922290389,0.6153190732002258,0.04%
88,0.572182434979269,0.572404682636261,0.04%
74,0.616918844566712,0.616896390914917,0.00%
120,0.610901611244429,0.6108116507530212,0.01%
57,0.614076844610677,0.6140083074569702,0.01%
80,0.579785264716771,0.5799620747566223,0.03%
49,0.607515657620042,0.6075413823127747,0.00%
34,0.593693367162015,0.5936741232872009,0.00%
68,0.598703170028818,0.5986109972000122,0.02%
15,0.594208080085806,0.594143271446228,0.01%
14,0.57439446366782,0.574387788772583,0.00%
69,0.59041394335512,0.5904006361961365,0.00%
108,0.602536997885835,0.6024737358093262,0.01%
83,0.609294320137694,0.6091597080230713,0.02%
47,0.615437392795883,0.6153029799461365,0.02%
40,0.61373092926491,0.6136099696159363,0.02%
56,0.616822429906542,0.6167191863059998,0.02%
119,0.615645106671182,0.6156606674194336,0.00%
97,0.612371134020618,0.6122509241104126,0.02%
96,0.605347593582888,0.605312168598175,0.01%
58,0.618493150684932,0.618363082408905,0.02%
67,0.595203488372093,0.5954315066337585,0.04%
8,0.583148558758315,0.5833465456962585,0.03%
16,0.604026845637584,0.6040307879447937,0.00%
121,0.587709497206704,0.5877416133880615,0.01%
93,0.581643936601548,0.5817399024963379,0.02%
79,0.605870020964361,0.6059754490852356,0.02%
84,0.580204778156997,0.5802395939826965,0.01%
45,0.608998953610045,0.6087926030158997,0.03%
109,0.607193229901269,0.6069923043251038,0.03%
72,0.573277502854968,0.573396623134613,0.02%
4,0.58801775147929,0.5881180167198181,0.02%
66,0.566297286969813,0.5664697885513306,0.03%
89,0.615331491712707,0.615098237991333,0.04%
118,0.584660985550204,0.5848208069801331,0.03%
78,0.612244897959184,0.6121880412101746,0.01%
65,0.586813186813187,0.5869553089141846,0.02%
94,0.598476605005441,0.598594069480896,0.02%
64,0.588321704002938,0.5884910225868225,0.03%
117,0.597197269134028,0.597230076789856,0.01%
31,0.617014007516228,0.6170989274978638,0.01%
48,0.59245960502693,0.5925571918487549,0.02%
111,0.574809160305344,0.5749303698539734,0.02%
62,0.619979402677652,0.6197392344474792,0.04%
39,0.578285714285714,0.57822185754776,0.01%
63,0.573696145124717,0.5740178227424622,0.06%
