,真实值,XG_预测,XG_误差率
103,0.569794050343249,0.5777037739753723,1.39%
20,0.586181277860327,0.5905033946037292,0.74%
13,0.615224191866528,0.6097111105918884,0.90%
1,0.586499446698635,0.5906893014907837,0.71%
112,0.593952483801296,0.5963588356971741,0.41%
22,0.588917059036581,0.5918353199958801,0.50%
51,0.585312385823895,0.5845727920532227,0.13%
73,0.59672131147541,0.5969047546386719,0.03%
28,0.571753986332574,0.578899085521698,1.25%
50,0.620054570259209,0.6134351491928101,1.07%
81,0.601941747572815,0.5998289585113525,0.35%
59,0.606039569593891,0.604915976524353,0.19%
36,0.570878274268105,0.5786539316177368,1.36%
91,0.617107942973523,0.6114805936813354,0.91%
0,0.578668683812405,0.5844606161117554,1.00%
98,0.591918456497998,0.5932364463806152,0.22%
85,0.600430416068866,0.5972996950149536,0.52%
19,0.605524079320113,0.6035279035568237,0.33%
105,0.612495732331854,0.608641505241394,0.63%
70,0.608695652173913,0.6069453358650208,0.29%
86,0.593430656934307,0.5949820876121521,0.26%
123,0.605524079320113,0.6001400947570801,0.89%
102,0.589837997054492,0.5926480293273926,0.48%
110,0.575620767494357,0.5805033445358276,0.85%
101,0.621538461538461,0.6156097054481506,0.95%
