,真实值,融合模型_预测,融合模型_误差率
10,0.603840682788051,0.6041690089649997,0.05%
46,0.610766045548654,0.6065412182197955,0.69%
115,0.589543937708565,0.5927878464039281,0.55%
25,0.613963039014374,0.60990197609017,0.66%
122,0.579418344519016,0.590050848384481,1.84%
43,0.590695997115038,0.5934680344304842,0.47%
18,0.594950603732163,0.5975154121049565,0.43%
52,0.576349024110218,0.5828464886298105,1.13%
41,0.572852760736196,0.5761273137641185,0.57%
100,0.601054481546573,0.6031712006425073,0.35%
3,0.582806103461109,0.5923205618758824,1.63%
55,0.577140701622029,0.5864769313564933,1.62%
90,0.576747720364742,0.5862764866801045,1.65%
0,0.6138477437134,0.6089857683879765,0.79%
17,0.567816091954023,0.5760172481555478,1.44%
76,0.596960926193922,0.5987974518889219,0.31%
9,0.600849256900213,0.6030893556823258,0.37%
75,0.575217885562713,0.580903424978843,0.99%
35,0.574108818011257,0.5786744090260174,0.80%
26,0.584988962472406,0.5925543386749245,1.29%
113,0.610348468848997,0.6051470482003669,0.85%
92,0.581291759465479,0.5905081438521084,1.59%
95,0.592190889370933,0.5952494588699897,0.52%
30,0.618577747533175,0.6146861663804124,0.63%
77,0.61198738170347,0.6074964461563717,0.73%
