,真实值,融合模型_预测,融合模型_误差率
82,0.608848314606742,0.6088090360205656,0.01%
65,0.586813186813187,0.5868566935787992,0.01%
72,0.573277502854968,0.5733139682466954,0.01%
31,0.617014007516228,0.6170400034289746,0.00%
88,0.572182434979269,0.572250469976307,0.01%
79,0.605870020964361,0.6059022948789141,0.01%
104,0.599364631133074,0.5993757818371854,0.00%
71,0.60439177413733,0.6044488606076537,0.01%
14,0.57439446366782,0.5743924203325422,0.00%
47,0.615437392795883,0.615333569896531,0.02%
29,0.580934579439252,0.581008204779007,0.01%
34,0.593693367162015,0.5936874761799307,0.00%
68,0.598703170028818,0.5986749538567331,0.00%
33,0.595452905088416,0.5954459527838263,0.00%
49,0.607515657620042,0.6075235325259802,0.00%
64,0.588321704002938,0.5883735362224937,0.01%
11,0.568276911373146,0.5683143256358768,0.01%
80,0.579785264716771,0.5798393902391756,0.01%
118,0.584660985550204,0.5847099104777318,0.01%
119,0.615645106671182,0.6155782728400971,0.01%
116,0.618407445708376,0.6182908828773798,0.02%
66,0.566297286969813,0.5663500935764004,0.01%
117,0.597197269134028,0.5972073122939755,0.00%
108,0.602536997885835,0.6025176319440466,0.00%
87,0.615541922290389,0.615545300506603,0.00%
44,0.570238546005301,0.5702699797094269,0.01%
8,0.583148558758315,0.5832091670046231,0.01%
56,0.616822429906542,0.6167908247227045,0.01%
61,0.583990980834273,0.5839926808893526,0.00%
32,0.58348623853211,0.5834788732795608,0.00%
38,0.591362126245847,0.5913329663232361,0.00%
83,0.609294320137694,0.609275145688537,0.00%
107,0.57131931166348,0.5713588241283813,0.01%
48,0.59245960502693,0.5925111398917817,0.01%
2,0.602730136506825,0.6026878289496073,0.01%
58,0.618493150684932,0.6184533338657388,0.01%
97,0.612371134020618,0.6123150852010955,0.01%
53,0.607355516637478,0.6073572921609784,0.00%
63,0.573696145124717,0.5737946178648416,0.02%
67,0.595203488372093,0.5952751401671273,0.01%
114,0.595698924731183,0.595695814494787,0.00%
60,0.610489510489511,0.6104685019830922,0.00%
6,0.595941616233535,0.5959100265289685,0.01%
99,0.598926654740608,0.5988990507091563,0.00%
24,0.584328358208955,0.5843445047314035,0.00%
121,0.587709497206704,0.5877193286907924,0.00%
45,0.608998953610045,0.6089474844622402,0.01%
120,0.610901611244429,0.6108740723184881,0.00%
16,0.604026845637584,0.6040280524663193,0.00%
12,0.602341255764456,0.6023451905163363,0.00%
21,0.577910003718855,0.5779133800005054,0.00%
40,0.61373092926491,0.6136939008009366,0.01%
57,0.614076844610677,0.6140558638493392,0.00%
74,0.616918844566712,0.6169119709998359,0.00%
37,0.60421052631579,0.6041668535764206,0.01%
23,0.569343065693431,0.5693744203292471,0.01%
39,0.578285714285714,0.5782661663047068,0.00%
84,0.580204778156997,0.5802154360628233,0.00%
96,0.605347593582888,0.6053367491998143,0.00%
78,0.612244897959184,0.6122467426993572,0.00%
4,0.58801775147929,0.5880484449202665,0.01%
7,0.600216684723727,0.6002223234493794,0.00%
69,0.59041394335512,0.5904098697350213,0.00%
27,0.585858585858586,0.5857884462679386,0.01%
42,0.597430406852248,0.597417379331534,0.00%
5,0.605698206120295,0.6057664357720005,0.01%
54,0.582458770614693,0.5825278583761421,0.01%
62,0.619979402677652,0.6199058817908657,0.01%
109,0.607193229901269,0.6071317220718313,0.01%
106,0.60702875399361,0.6069938209770828,0.01%
93,0.581643936601548,0.5816733139162814,0.01%
94,0.598476605005441,0.5985125635183359,0.01%
111,0.574809160305344,0.5748462652692115,0.01%
15,0.594208080085806,0.5941882407063437,0.00%
89,0.615331491712707,0.6153227636209007,0.00%
