,真实�?融合模型_预测,融合模型_误差�?,,,,
103,0.56979405,0.573770501,0.70%,,0.039764511,0.044020502
28,0.571753986,0.581786149,1.75%,,0.100321629,
98,0.591918456,0.59175376,0.03%,,0.00164697,
19,0.605524079,0.602499895,0.50%,,0.030241844,
81,0.601941748,0.598267174,0.61%,,0.03674574,
105,0.612495732,0.604850343,1.25%,,0.076453894,
70,0.608695652,0.603531978,0.85%,,0.051636745,
20,0.586181278,0.587994808,0.31%,,0.018135306,
91,0.617107943,0.613708964,0.55%,,0.033989792,
59,0.60603957,0.60302945,0.50%,,0.030101196,
101,0.621538462,0.616937082,0.74%,,0.046013796,
102,0.589837997,0.59155301,0.29%,,0.017150125,
51,0.585312386,0.58793302,0.45%,,0.026206342,
22,0.588917059,0.590335562,0.24%,,0.014185028,
110,0.575620767,0.587345222,2.04%,,0.117244542,
73,0.596721311,0.594258338,0.41%,,0.024629739,
0,0.578668684,0.587883384,1.59%,,0.092146998,
13,0.615224192,0.609978981,0.85%,,0.05245211,
86,0.593430657,0.592071583,0.23%,,0.013590737,
123,0.605524079,0.60066881,0.80%,,0.04855269,
1,0.586499447,0.589851001,0.57%,,0.033515544,
50,0.62005457,0.615559038,0.73%,,0.044955322,
112,0.593952484,0.593717652,0.04%,,0.002348318,
36,0.570878274,0.579931318,1.59%,,0.09053044,
85,0.600430416,0.594635097,0.97%,,0.057953192,
