,真实值,RF_预测,RF_误差率
62,6.16271186440678,6.162711864406767,0.00%
119,6.04040404040404,6.040404040404024,0.00%
24,5.31313131313131,5.3131313131313025,0.00%
87,6.04013377926421,6.040133779264214,0.00%
11,4.99665551839465,4.996655518394641,0.00%
39,5.14576271186441,5.145762711864426,0.00%
72,5.07070707070707,5.070707070707051,0.00%
45,5.87878787878788,5.87878787878789,0.00%
64,5.39393939393939,5.393939393939385,0.00%
34,5.51515151515152,5.515151515151507,0.00%
89,6.02013422818792,6.020134228187921,0.00%
94,5.63389830508475,5.633898305084735,0.00%
108,5.7190635451505,5.7190635451504725,0.00%
96,5.7979797979798,5.797979797979807,0.00%
80,5.19732441471572,5.197324414715702,0.00%
29,5.23232323232323,5.2323232323232185,0.00%
14,5.10508474576271,5.1050847457627215,0.00%
109,5.83838383838384,5.838383838383835,0.00%
44,5.03030303030303,5.03030303030301,0.00%
111,5.11705685618729,5.117056856187306,0.00%
120,5.95959595959596,5.959595959595975,0.00%
82,5.87796610169492,5.877966101694932,0.00%
106,5.83728813559322,5.837288135593227,0.00%
79,5.81879194630873,5.818791946308713,0.00%
67,5.55555555555556,5.555555555555556,0.00%
78,5.95986622073579,5.959866220735785,0.00%
93,5.23745819397993,5.236389547077827,0.02%
42,5.61486486486486,5.614864864864868,0.00%
31,6.08080808080808,6.080808080808082,0.00%
99,5.65540540540541,5.655405405405415,0.00%
61,5.30847457627119,5.3084745762712116,0.00%
104,5.67457627118644,5.67457627118643,0.00%
71,5.77852348993289,5.778523489932903,0.00%
7,5.67892976588629,5.678929765886303,0.00%
47,6.02027027027027,6.020270270270276,0.00%
117,5.5959595959596,5.59595959595959,0.00%
32,5.27759197324415,5.277591973244165,0.00%
6,5.59322033898305,5.593220338983056,0.00%
60,5.93959731543624,5.939597315436232,0.00%
12,5.71717171717172,5.7171717171717225,0.00%
37,5.77702702702703,5.777027027027012,0.00%
74,6.06040268456376,6.060402684563768,0.00%
23,5.02372881355932,5.023728813559301,0.00%
63,5.07692307692308,5.076923076923092,0.00%
48,5.49664429530201,5.496644295301995,0.00%
33,5.55852842809364,5.558528428093638,0.00%
118,5.33108108108108,5.331081081081061,0.00%
15,5.51839464882943,5.518394648829451,0.00%
114,5.57718120805369,5.577181208053699,0.00%
65,5.34915254237288,5.349152542372869,0.00%
88,5.06440677966102,5.064406779661006,0.00%
4,5.38983050847458,5.3898305084745814,0.00%
5,5.81756756756757,5.817567567567575,0.00%
49,5.85906040268456,5.859060402684557,0.00%
68,5.63636363636364,5.6363636363636385,0.00%
66,4.98989898989899,4.989898989898968,0.00%
107,5.05369127516779,5.053691275167802,0.00%
121,5.35785953177257,5.357859531772559,0.00%
97,5.97986577181208,5.979865771812079,0.00%
56,6.0406779661017,6.040677966101701,0.00%
21,5.12837837837838,5.1297972972972765,0.03%
116,6.10135135135135,6.101351351351335,0.00%
2,5.75593220338983,5.755932203389851,0.00%
54,5.25503355704698,5.255033557046994,0.00%
16,5.75757575757576,5.757575757575753,0.00%
58,6.12203389830509,6.122033898305068,0.00%
40,6.0,6.0,0.00%
27,5.33557046979866,5.335570469798659,0.00%
84,5.21476510067114,5.214765100671125,0.00%
69,5.41216216216216,5.412162162162164,0.00%
57,6.0,6.0,0.00%
38,5.49324324324324,5.493243243243237,0.00%
8,5.26779661016949,5.267796610169501,0.00%
53,5.85810810810811,5.858108108108121,0.00%
83,5.89864864864865,5.898648648648662,0.00%
