,真实值,RF_预测,RF_误差率
0,5.16891891891892,5.328650890578079,3.09%
20,5.35353535353535,5.344448237063867,0.17%
81,5.61744966442953,5.625481070727508,0.14%
22,5.43050847457627,5.391327523179533,0.72%
28,5.08783783783784,5.1611526362771745,1.44%
103,4.97315436241611,5.08726775263548,2.29%
86,5.47826086956522,5.5294954965254135,0.94%
102,5.45637583892617,5.430378866624279,0.48%
13,6.08026755852843,5.839050955570505,3.97%
98,5.47474747474747,5.479927098388177,0.09%
73,5.57432432432432,5.591565461294039,0.31%
91,6.08135593220339,5.849016847337236,3.82%
36,5.0472972972973,5.132040738435198,1.68%
51,5.29530201342282,5.333672751283377,0.72%
50,6.1006711409396,6.002422729168612,1.61%
123,5.73825503355705,5.626221641742558,1.95%
59,5.75919732441471,5.674671457968421,1.47%
19,5.73825503355705,5.647393565355774,1.58%
110,5.13422818791946,5.27453587432506,2.73%
85,5.59866220735786,5.59520817413906,0.06%
101,6.14189189189189,6.032932031183285,1.77%
70,5.91864406779661,5.702776168284186,3.65%
112,5.51186440677966,5.5397012011724565,0.51%
105,5.91973244147157,5.71508585665865,3.46%
1,5.3758389261745,5.376763735081498,0.02%
