,真实值,XG_预测,XG_误差率
19,5.73825503355705,5.655101299285889,1.45%
73,5.57432432432432,5.576760292053223,0.04%
81,5.61744966442953,5.5989089012146,0.33%
112,5.51186440677966,5.500483512878418,0.21%
102,5.45637583892617,5.381439685821533,1.37%
123,5.73825503355705,5.649162769317627,1.55%
0,5.16891891891892,5.2789435386657715,2.13%
51,5.29530201342282,5.284405708312988,0.21%
103,4.97315436241611,5.092243671417236,2.39%
36,5.0472972972973,5.148135185241699,2.00%
86,5.47826086956522,5.47996187210083,0.03%
98,5.47474747474747,5.411550521850586,1.15%
110,5.13422818791946,5.268838882446289,2.62%
101,6.14189189189189,6.056323051452637,1.39%
1,5.3758389261745,5.292508602142334,1.55%
59,5.75919732441471,5.677613258361816,1.42%
20,5.35353535353535,5.287028789520264,1.24%
91,6.08135593220339,5.926182270050049,2.55%
105,5.91973244147157,5.742858409881592,2.99%
50,6.1006711409396,6.016951084136963,1.37%
22,5.43050847457627,5.374310493469238,1.03%
13,6.08026755852843,5.876224517822266,3.36%
28,5.08783783783784,5.257214069366455,3.33%
70,5.91864406779661,5.721431732177734,3.33%
85,5.59866220735786,5.577081203460693,0.39%
