,真实值,融合模型_预测,融合模型_误差率
92,5.27272727272727,5.47211997067469,3.78%
30,6.12121212121212,5.9516959845426936,2.77%
3,5.29054054054054,5.486542589400855,3.70%
10,5.79661016949153,5.760317556340446,0.63%
100,5.73648648648649,5.680352910061906,0.98%
52,5.11111111111111,5.277921969976855,3.26%
46,5.83946488294314,5.861682287380178,0.38%
9,5.69798657718121,5.622937079220801,1.32%
90,5.15151515151515,5.329193339158549,3.45%
41,5.01342281879195,5.10964327055324,1.92%
43,5.438127090301,5.520737449685685,1.52%
17,5.00675675675676,5.099472406166743,1.85%
25,6.06081081081081,5.921242279576964,2.30%
76,5.55254237288136,5.599719742299433,0.85%
75,5.09395973154362,5.229617534628606,2.66%
95,5.53378378378379,5.55471018433756,0.38%
35,5.03678929765886,5.1986302695605815,3.21%
0,6.0,5.900569291939783,1.66%
122,5.25,5.410260935364025,3.05%
77,5.97972972972973,5.888765123861771,1.52%
113,5.79933110367893,5.786949770384138,0.21%
26,5.31772575250836,5.493316722443883,3.30%
115,5.37162162162162,5.513247862279432,2.64%
55,5.1864406779661,5.349433235134898,3.14%
18,5.53691275167785,5.557086308262937,0.36%
