,真实值,融合模型_预测,融合模型_误差率
105,5.91973244147157,5.731123597493854,3.19%
28,5.08783783783784,5.204870586799082,2.30%
103,4.97315436241611,5.088508471737559,2.32%
70,5.91864406779661,5.683705721183151,3.97%
13,6.08026755852843,5.885263834263454,3.21%
102,5.45637583892617,5.4417047575234125,0.27%
73,5.57432432432432,5.555164858617384,0.34%
110,5.13422818791946,5.2733309398422,2.71%
81,5.61744966442953,5.647482402798911,0.53%
19,5.73825503355705,5.664568653112294,1.28%
51,5.29530201342282,5.327545519912729,0.61%
59,5.75919732441471,5.676991442445527,1.43%
1,5.3758389261745,5.3353707327638125,0.75%
22,5.43050847457627,5.410690286526731,0.36%
85,5.59866220735786,5.5861840622380345,0.22%
86,5.47826086956522,5.45930223355113,0.35%
91,6.08135593220339,5.939379851458711,2.33%
123,5.73825503355705,5.649504609209293,1.55%
112,5.51186440677966,5.515480178837109,0.07%
101,6.14189189189189,6.044834065998702,1.58%
36,5.0472972972973,5.138329858335378,1.80%
98,5.47474747474747,5.44419389785752,0.56%
0,5.16891891891892,5.312776303973795,2.78%
20,5.35353535353535,5.331564143685673,0.41%
50,6.1006711409396,5.941273577812547,2.61%
