,0,,,,RF,RMSE,,,,,RMSE,,,
0,0.551020408,,,,0,66.86462493,36.84374563,,,0,13.8090901,6.200005275,,43.0437509
1,0.448979592,,,,1,66.86462493,36.84374563,,,1,13.8090901,6.200005275,,43.0437509
,,,,,2,66.86462493,36.84374563,,,2,13.8090901,6.200005275,,43.0437509
,,,,,3,11.46583977,6.31790703,,,3,13.8090901,6.200005275,,12.51791231
,,,,,4,11.46583977,6.31790703,,,4,9.87370415,4.433095689,,10.75100272
,,,,,5,11.46583977,6.31790703,,,5,9.87370415,4.433095689,,10.75100272
,,,,,6,11.46583977,6.31790703,,,6,9.87370415,4.433095689,,10.75100272
,,,,,7,11.46583977,6.31790703,,,7,9.87370415,4.433095689,,10.75100272
,,,,,8,11.46583977,6.31790703,,,8,9.87370415,4.433095689,,10.75100272
,,,,,9,11.46583977,6.31790703,,,9,9.87370415,4.433095689,,10.75100272
,,,,,10,9.355002044,5.154793226,,,10,9.87370415,4.433095689,,9.587888915
,,,,,11,8.895724165,4.901721929,,,11,9.87370415,4.433095689,,9.334817619
,,,,,12,6.467313883,3.563619296,,,12,9.87370415,4.433095689,,7.996714985
,,,,,13,6.467313883,3.563619296,,,13,9.87370415,4.433095689,,7.996714985
,,,,,14,5.935789469,3.270738713,,,14,9.87370415,4.433095689,,7.703834402
,,,,,15,5.935789469,3.270738713,,,15,9.87370415,4.433095689,,7.703834402
,,,,,16,5.935789469,3.270738713,,,16,9.87370415,4.433095689,,7.703834402
,,,,,17,5.935789469,3.270738713,,,17,9.87370415,4.433095689,,7.703834402
,,,,,18,5.935789469,3.270738713,,,18,9.87370415,4.433095689,,7.703834402
,,,,,19,5.935789469,3.270738713,,,19,9.87370415,4.433095689,,7.703834402
,,,,,20,4.849880155,2.672380963,,,20,9.87370415,4.433095689,,7.105476652
,,,,,21,4.849880155,2.672380963,,,21,8.325070134,3.737789989,,6.410170952
,,,,,22,4.279880221,2.358299599,,,22,7.136649328,3.204212815,,5.562512415
,,,,,23,4.279880221,2.358299599,,,23,7.136649328,3.204212815,,5.562512415
,,,,,24,4.279880221,2.358299599,,,24,7.136649328,3.204212815,,5.562512415
,,,,,25,4.279880221,2.358299599,,,25,7.136649328,3.204212815,,5.562512415
,,,,,26,4.279880221,2.358299599,,,26,7.136649328,3.204212815,,5.562512415
,,,,,27,4.249998904,2.341834396,,,27,7.136649328,3.204212815,,5.546047211
,,,,,28,4.249998904,2.341834396,,,28,7.136649328,3.204212815,,5.546047211
,,,,,29,4.249998904,2.341834396,,,29,7.136649328,3.204212815,,5.546047211
,,,,,30,4.249998904,2.341834396,,,30,7.136649328,3.204212815,,5.546047211
,,,,,31,4.249998904,2.341834396,,,31,7.136649328,3.204212815,,5.546047211
,,,,,32,4.249998904,2.341834396,,,32,7.136649328,3.204212815,,5.546047211
,,,,,33,4.249998904,2.341834396,,,33,7.136649328,3.204212815,,5.546047211
,,,,,34,4.249998904,2.341834396,,,34,7.136649328,3.204212815,,5.546047211
,,,,,35,4.249998904,2.341834396,,,35,7.136649328,3.204212815,,5.546047211
,,,,,36,4.249998904,2.341834396,,,36,5.82775715,2.616546405,,4.958380801
,,,,,37,4.249998904,2.341834396,,,37,5.82775715,2.616546405,,4.958380801
,,,,,38,4.249998904,2.341834396,,,38,5.82775715,2.616546405,,4.958380801
,,,,,39,4.249998904,2.341834396,,,39,5.82775715,2.616546405,,4.958380801
,,,,,40,4.249998904,2.341834396,,,40,5.82775715,2.616546405,,4.958380801
,,,,,41,4.249998904,2.341834396,,,41,5.82775715,2.616546405,,4.958380801
,,,,,42,4.249998904,2.341834396,,,42,5.82775715,2.616546405,,4.958380801
,,,,,43,4.249998904,2.341834396,,,43,5.82775715,2.616546405,,4.958380801
,,,,,44,4.249998904,2.341834396,,,44,5.82775715,2.616546405,,4.958380801
,,,,,45,4.249998904,2.341834396,,,45,5.82775715,2.616546405,,4.958380801
,,,,,46,4.249998904,2.341834396,,,46,5.82775715,2.616546405,,4.958380801
,,,,,47,4.249998904,2.341834396,,,47,5.82775715,2.616546405,,4.958380801
,,,,,48,4.249998904,2.341834396,,,48,5.82775715,2.616546405,,4.958380801
,,,,,49,4.249998904,2.341834396,,,49,5.82775715,2.616546405,,4.958380801
