,真实值,RF_预测,RF_误差率
43,0.108903605592347,0.10813132429657799,0.71%
115,0.10781476121563,0.10781080697071024,0.00%
77,0.11322188449848,0.11136497617958002,1.64%
55,0.104801962846127,0.10501122937105631,0.20%
10,0.110863922877271,0.10998569796679089,0.79%
25,0.114263803680982,0.11214502211512116,1.85%
3,0.106382978723404,0.10741665458631776,0.97%
75,0.102307957285567,0.10347920668671418,1.14%
76,0.110365398956003,0.10901112485612696,1.23%
9,0.110532192035728,0.10926160159958542,1.15%
90,0.104741684359519,0.1046426947830664,0.09%
30,0.114427860696517,0.11294184001474976,1.30%
18,0.109873793615442,0.10865359208236716,1.11%
52,0.103690685413005,0.10384927544069388,0.15%
41,0.101300479123888,0.10324549001364874,1.92%
113,0.112033195020747,0.11003261700157378,1.79%
17,0.101054780537598,0.10320344994843386,2.13%
46,0.112542629784009,0.11099776453471116,1.37%
35,0.102139406487233,0.10338293427448908,1.22%
0,0.113409961685824,0.1120609940382389,1.19%
92,0.10597439544808,0.10700066250002042,0.97%
122,0.105244632171771,0.10683264649683716,1.51%
95,0.109403585803147,0.10821002602371728,1.09%
100,0.110694183864916,0.10932474086693972,1.24%
26,0.107013738250181,0.1074771776326717,0.43%
