,真实值,RF_预测,RF_误差率
99,0.107181522915915,0.1071824743644628,0.00%
33,0.105638829407566,0.10564213157765014,0.00%
108,0.107981220657277,0.10798122065727644,0.00%
27,0.104028021015762,0.10402880381527746,0.00%
65,0.104129897635016,0.1041437271081583,0.01%
40,0.111859334081556,0.11186035675730321,0.00%
54,0.103255162758138,0.1032757058287677,0.02%
64,0.104467112205417,0.10446491106530759,0.00%
104,0.107348703170029,0.10734075899299748,0.01%
111,0.102475928473177,0.1024759284731769,0.00%
66,0.0998984083982391,0.09989840839823923,0.00%
120,0.111359404096834,0.11135940409683434,0.00%
21,0.102643323034672,0.10265666777872866,0.01%
47,0.112363773017663,0.11236377301766279,0.00%
2,0.108256880733945,0.10826189849017138,0.00%
42,0.106261180679785,0.10623853597221053,0.02%
14,0.102054794520548,0.1020547945205479,0.00%
89,0.112209965766451,0.11220923528377404,0.00%
107,0.101469080970277,0.10146908097027695,0.00%
4,0.104298801973221,0.10429398343539674,0.00%
118,0.103859649122807,0.10389105631230279,0.03%
93,0.103067907618063,0.10307207649089092,0.00%
106,0.109386548410939,0.10938369389906627,0.00%
49,0.110207100591716,0.11020710059171561,0.00%
84,0.102900552486188,0.10290055248618786,0.00%
34,0.105077574047955,0.10507427206844175,0.00%
24,0.103592605510987,0.10359668173732446,0.00%
67,0.105470146585627,0.10547354899851406,0.00%
31,0.113740458015267,0.11374045801526717,0.00%
32,0.103424178895877,0.10342417889587702,0.00%
44,0.101131299280082,0.10113129928008174,0.00%
16,0.10828488372093,0.1082770741140307,0.01%
53,0.110040755835495,0.11004075583549518,0.00%
78,0.111694152923538,0.11169415292353788,0.00%
45,0.111028037383178,0.11102803738317821,0.00%
79,0.109218807848945,0.10921523585906812,0.00%
39,0.102732618471117,0.10273261847111682,0.00%
97,0.111700113593336,0.11170011359333634,0.00%
74,0.113575525812619,0.11357552581261865,0.00%
88,0.101549053356282,0.10154905335628214,0.00%
7,0.107480029048656,0.10747356710127134,0.01%
5,0.10907087770841,0.10906257737105352,0.01%
63,0.10188679245283,0.10188890701787619,0.00%
57,0.111866969009826,0.11186696900982566,0.00%
82,0.110372831303064,0.11037579978959769,0.00%
38,0.104909925821265,0.1049082792625466,0.00%
96,0.10873571691854,0.10871044426143872,0.02%
116,0.113904761904762,0.1139047619047621,0.00%
87,0.112724493695071,0.11272449369507126,0.00%
58,0.114099116404149,0.11409911640414899,0.00%
61,0.10349601938387,0.10349601938386983,0.00%
72,0.101718213058419,0.10173231573430788,0.01%
94,0.106595365418895,0.10660380107893998,0.01%
83,0.111194029850746,0.11118254323691758,0.01%
6,0.106093189964158,0.10608048457122513,0.01%
80,0.102823283373998,0.1028232833739981,0.00%
71,0.108451215088865,0.10844959655247166,0.00%
37,0.108424908424908,0.10841705998079082,0.01%
121,0.104195804195804,0.10419614005812167,0.00%
11,0.100306018361102,0.10030601836110237,0.00%
62,0.114955786236063,0.11495578623606305,0.00%
69,0.104634831460674,0.10463316915302942,0.00%
48,0.10501957992168,0.10501843103613216,0.00%
119,0.113056718690522,0.11305671869052222,0.00%
109,0.10970621048717,0.10970397576448984,0.00%
29,0.102992345163535,0.10298915983327245,0.00%
8,0.103328710124827,0.10337758520230982,0.05%
12,0.107647698441464,0.10765495572387927,0.01%
15,0.105356509400497,0.10535610305530042,0.00%
56,0.113386423966629,0.1133864239666286,0.00%
68,0.106719367588933,0.10671523949462822,0.00%
117,0.106141285055023,0.10614128505502304,0.00%
23,0.100886162235856,0.1008861622358559,0.00%
60,0.111194873727855,0.11119402985074604,0.00%
114,0.105924596050269,0.10593242284676524,0.01%
