,真实值,RF_预测,RF_误差率
112,0.107515282272564,0.10848337568692612,0.90%
51,0.103927702467848,0.10561050944698906,1.62%
22,0.105691056910569,0.1071557262310097,1.39%
0,0.102395001735509,0.10532251050226084,2.86%
123,0.108925318761384,0.10950836619728385,0.54%
20,0.105524079320113,0.1060291661188702,0.48%
70,0.110698365527489,0.11057004413249281,0.12%
101,0.114791987673344,0.11175872375340491,2.64%
59,0.109720176730486,0.10996894676807742,0.23%
36,0.100716968248549,0.10238558864182684,1.66%
98,0.106845345889171,0.10823608433647781,1.30%
91,0.112708018154312,0.11145625416766691,1.11%
50,0.112890922959573,0.1116662366873405,1.08%
28,0.101637107776262,0.10255307835983522,0.90%
81,0.108759124087591,0.10931277131650972,0.51%
103,0.100475220638153,0.10230037303837804,1.82%
13,0.112376613515566,0.11096529602019052,1.26%
102,0.106551475881929,0.107332223938282,0.73%
1,0.105524079320113,0.10609107991896899,0.54%
105,0.111361926260346,0.11066158230722747,0.63%
85,0.10811794685111,0.10875749969191578,0.59%
110,0.102222222222222,0.10520272691087096,2.92%
19,0.109553670232387,0.10971435113441182,0.15%
73,0.107782243332115,0.10854352247696095,0.71%
86,0.106886657101865,0.10834746272700924,1.37%
