,真实值,XG_预测,XG_误差率
114,0.105924596050269,0.10602493584156036,0.09%
117,0.106141285055023,0.10630955547094345,0.16%
108,0.107981220657277,0.10793865472078323,0.04%
49,0.110207100591716,0.1101025640964508,0.09%
8,0.103328710124827,0.10330358892679214,0.02%
82,0.110372831303064,0.1103346198797226,0.03%
65,0.104129897635016,0.10409686714410782,0.03%
78,0.111694152923538,0.11149975657463074,0.17%
32,0.103424178895877,0.103328637778759,0.09%
69,0.104634831460674,0.10477875918149948,0.14%
48,0.10501957992168,0.10503038018941879,0.01%
15,0.105356509400497,0.10539166629314423,0.03%
109,0.10970621048717,0.10968831926584244,0.02%
97,0.111700113593336,0.11165930330753326,0.04%
99,0.107181522915915,0.10724984109401703,0.06%
31,0.113740458015267,0.11347857117652893,0.23%
116,0.113904761904762,0.11365393549203873,0.22%
34,0.105077574047955,0.10507021844387054,0.01%
24,0.103592605510987,0.10359852015972137,0.01%
45,0.111028037383178,0.11090826988220215,0.11%
58,0.114099116404149,0.11391808837652206,0.16%
33,0.105638829407566,0.1055898368358612,0.05%
12,0.107647698441464,0.10756701976060867,0.07%
79,0.109218807848945,0.10912109911441803,0.09%
29,0.102992345163535,0.1031811535358429,0.18%
14,0.102054794520548,0.10219962894916534,0.14%
83,0.111194029850746,0.11104321479797363,0.14%
4,0.104298801973221,0.10424796491861343,0.05%
67,0.105470146585627,0.10556740313768387,0.09%
21,0.102643323034672,0.10263320803642273,0.01%
60,0.111194873727855,0.11116862297058105,0.02%
120,0.111359404096834,0.1112266480922699,0.12%
2,0.108256880733945,0.10808656364679337,0.16%
62,0.114955786236063,0.11464415490627289,0.27%
94,0.106595365418895,0.10664624720811844,0.05%
47,0.112363773017663,0.11236012727022171,0.00%
5,0.10907087770841,0.10890783369541168,0.15%
57,0.111866969009826,0.11198725551366806,0.11%
61,0.10349601938387,0.10350463539361954,0.01%
42,0.106261180679785,0.10634279996156693,0.08%
23,0.100886162235856,0.10098949074745178,0.10%
72,0.101718213058419,0.10199813544750214,0.28%
74,0.113575525812619,0.11341210454702377,0.14%
54,0.103255162758138,0.10325010120868683,0.00%
7,0.107480029048656,0.10734877735376358,0.12%
71,0.108451215088865,0.10859479755163193,0.13%
38,0.104909925821265,0.10501042753458023,0.10%
37,0.108424908424908,0.10844206809997559,0.02%
53,0.110040755835495,0.1100461333990097,0.00%
96,0.10873571691854,0.10887914896011353,0.13%
93,0.103067907618063,0.10319159179925919,0.12%
56,0.113386423966629,0.11329419910907745,0.08%
106,0.109386548410939,0.10928366333246231,0.09%
16,0.10828488372093,0.10832265764474869,0.03%
6,0.106093189964158,0.10606071352958679,0.03%
88,0.101549053356282,0.10169805586338043,0.15%
40,0.111859334081556,0.11170738935470581,0.14%
27,0.104028021015762,0.10402151197195053,0.01%
68,0.106719367588933,0.1067027822136879,0.02%
107,0.101469080970277,0.10166647285223007,0.19%
64,0.104467112205417,0.10459158569574356,0.12%
44,0.101131299280082,0.10146164149045944,0.33%
39,0.102732618471117,0.10271049290895462,0.02%
87,0.112724493695071,0.1125778779387474,0.13%
11,0.100306018361102,0.10046876221895218,0.16%
63,0.10188679245283,0.10213932394981384,0.25%
118,0.103859649122807,0.10400839149951935,0.14%
119,0.113056718690522,0.11310356110334396,0.04%
89,0.112209965766451,0.11199495941400528,0.19%
84,0.102900552486188,0.10287585109472275,0.02%
80,0.102823283373998,0.1028226763010025,0.00%
66,0.0998984083982391,0.10035452246665955,0.46%
111,0.102475928473177,0.10250699520111084,0.03%
121,0.104195804195804,0.10421691834926605,0.02%
104,0.107348703170029,0.10734258592128754,0.01%
