,真实值,融合模型_预测,融合模型_误差率
26,0.107013738250181,0.10762863414403313,0.57%
0,0.113409961685824,0.11210115310290265,1.15%
18,0.109873793615442,0.10844095540809379,1.30%
10,0.110863922877271,0.11027696853976131,0.53%
43,0.108903605592347,0.10792445046510137,0.90%
90,0.104741684359519,0.10446458059683605,0.26%
92,0.10597439544808,0.10698203510573802,0.95%
30,0.114427860696517,0.11299152286983129,1.26%
25,0.114263803680982,0.11233602025986386,1.69%
46,0.112542629784009,0.11126318783750207,1.14%
122,0.105244632171771,0.10645738241693882,1.15%
77,0.11322188449848,0.11186089372491662,1.20%
3,0.106382978723404,0.10746022352351141,1.01%
9,0.110532192035728,0.10897957579672035,1.40%
55,0.104801962846127,0.10549147253428047,0.66%
115,0.10781476121563,0.10786268686401873,0.04%
95,0.109403585803147,0.10812670434887751,1.17%
17,0.101054780537598,0.10302302501437383,1.95%
113,0.112033195020747,0.1103960185842275,1.46%
35,0.102139406487233,0.1033722882623369,1.21%
100,0.110694183864916,0.1094662288436311,1.11%
41,0.101300479123888,0.10321767030078255,1.89%
75,0.102307957285567,0.10344446017333986,1.11%
76,0.110365398956003,0.10890914117846581,1.32%
52,0.103690685413005,0.10395007922451709,0.25%
