,真实值,融合模型_预测,融合模型_误差率
83,0.111194029850746,0.11118317561170578,0.01%
39,0.102732618471117,0.10273846470065176,0.01%
16,0.10828488372093,0.10826822874793872,0.02%
88,0.101549053356282,0.10155513509126575,0.01%
48,0.10501957992168,0.1050177496118555,0.00%
80,0.102823283373998,0.10281552519695421,0.01%
117,0.106141285055023,0.10614815323526469,0.01%
14,0.102054794520548,0.10205824470133426,0.00%
60,0.111194873727855,0.11119536120754293,0.00%
38,0.104909925821265,0.10492421126509333,0.01%
21,0.102643323034672,0.10265064357615503,0.01%
5,0.10907087770841,0.10906224328766102,0.01%
56,0.113386423966629,0.11338265968672855,0.00%
32,0.103424178895877,0.10341925685632253,0.00%
57,0.111866969009826,0.11186571060987958,0.00%
93,0.103067907618063,0.10307687295877281,0.01%
118,0.103859649122807,0.10386992158843089,0.01%
49,0.110207100591716,0.11020243490805466,0.00%
107,0.101469080970277,0.10147713778178524,0.01%
104,0.107348703170029,0.10735116036085686,0.00%
72,0.101718213058419,0.10173786268661263,0.02%
6,0.106093189964158,0.10609188512205736,0.00%
11,0.100306018361102,0.10031266096754521,0.01%
78,0.111694152923538,0.11168621837868453,0.01%
7,0.107480029048656,0.10746945117218827,0.01%
33,0.105638829407566,0.10563458959828756,0.00%
120,0.111359404096834,0.11135161711208931,0.01%
106,0.109386548410939,0.10937680222036421,0.01%
79,0.109218807848945,0.10921350725411577,0.00%
114,0.105924596050269,0.10593527201966714,0.01%
66,0.0998984083982391,0.09992320608692587,0.02%
12,0.107647698441464,0.10764295574531352,0.00%
44,0.101131299280082,0.10114478263560736,0.01%
116,0.113904761904762,0.11389452409199789,0.01%
34,0.105077574047955,0.10507843780035424,0.00%
37,0.108424908424908,0.10842336640778494,0.00%
69,0.104634831460674,0.10462759464977385,0.01%
47,0.112363773017663,0.11236362421164478,0.00%
119,0.113056718690522,0.11305863062573943,0.00%
111,0.102475928473177,0.10247719650288847,0.00%
99,0.107181522915915,0.10718221540979365,0.00%
64,0.104467112205417,0.10447623252373585,0.01%
65,0.104129897635016,0.10414554201810886,0.02%
45,0.111028037383178,0.1110286568694964,0.00%
31,0.113740458015267,0.11372705583288989,0.01%
84,0.102900552486188,0.10289279495242323,0.01%
4,0.104298801973221,0.10428888349242162,0.01%
54,0.103255162758138,0.10326818369816096,0.01%
27,0.104028021015762,0.10402956028310416,0.00%
40,0.111859334081556,0.11186045555451465,0.00%
71,0.108451215088865,0.10845618845234484,0.00%
23,0.100886162235856,0.10089037972612512,0.00%
42,0.106261180679785,0.10626499431489238,0.00%
24,0.103592605510987,0.10359046133977694,0.00%
58,0.114099116404149,0.11409172750506219,0.01%
63,0.10188679245283,0.10189953534063256,0.01%
61,0.10349601938387,0.10348598190733176,0.01%
15,0.105356509400497,0.10535980753666926,0.00%
62,0.114955786236063,0.11494306658994916,0.01%
2,0.108256880733945,0.10826692919097125,0.01%
109,0.10970621048717,0.10970288135289744,0.00%
67,0.105470146585627,0.1054768831327915,0.01%
87,0.112724493695071,0.11271727556151491,0.01%
8,0.103328710124827,0.10332756827056455,0.00%
29,0.102992345163535,0.10300150005589621,0.01%
82,0.110372831303064,0.11037127165313143,0.00%
53,0.110040755835495,0.11004137421581937,0.00%
74,0.113575525812619,0.11357156848053336,0.00%
96,0.10873571691854,0.10872185920573105,0.01%
89,0.112209965766451,0.11220087555205159,0.01%
121,0.104195804195804,0.10418844337459554,0.01%
108,0.107981220657277,0.10798435403354603,0.00%
94,0.106595365418895,0.10659876015984267,0.00%
97,0.111700113593336,0.1116984478673852,0.00%
68,0.106719367588933,0.1067238590099356,0.00%
