,RMSE
0,66.86462492935466
1,66.86462492935466
2,66.86462492935466
3,11.465839770583557
4,11.465839770583557
5,11.465839770583557
6,11.465839770583557
7,11.465839770583557
8,11.465839770583557
9,11.465839770583557
10,9.355002044023143
11,8.895724164947755
12,6.467313882654635
13,6.467313882654635
14,5.935789468891767
15,5.935789468891767
16,5.935789468891767
17,5.935789468891767
18,5.935789468891767
19,5.935789468891767
20,4.849880155198423
21,4.849880155198423
22,4.279880220654385
23,4.279880220654385
24,4.279880220654385
25,4.279880220654385
26,4.279880220654385
27,4.249998903724463
28,4.249998903724463
29,4.249998903724463
30,4.249998903724463
31,4.249998903724463
32,4.249998903724463
33,4.249998903724463
34,4.249998903724463
35,4.249998903724463
36,4.249998903724463
37,4.249998903724463
38,4.249998903724463
39,4.249998903724463
40,4.249998903724463
41,4.249998903724463
42,4.249998903724463
43,4.249998903724463
44,4.249998903724463
45,4.249998903724463
46,4.249998903724463
47,4.249998903724463
48,4.249998903724463
49,4.249998903724463
