,真实值,RF_预测,RF_误差率
3,5.29054054054054,5.503708328671559,4.03%
95,5.53378378378379,5.576150320835053,0.77%
17,5.00675675675676,5.116586855156505,2.19%
90,5.15151515151515,5.333164449340203,3.53%
41,5.01342281879195,5.123304230627537,2.19%
46,5.83946488294314,5.856079134453479,0.28%
100,5.73648648648649,5.665038872955115,1.25%
75,5.09395973154362,5.267452775979603,3.41%
26,5.31772575250836,5.507024236020555,3.56%
115,5.37162162162162,5.54345917839013,3.20%
43,5.438127090301,5.5717493167713465,2.46%
35,5.03678929765886,5.255080357343267,4.33%
77,5.97972972972973,5.898402403594568,1.36%
113,5.79933110367893,5.849673683023676,0.87%
10,5.79661016949153,5.69792281114592,1.70%
0,6.0,5.928719685557167,1.19%
92,5.27272727272727,5.434282164786547,3.06%
55,5.1864406779661,5.376066958455603,3.66%
18,5.53691275167785,5.584377563159904,0.86%
9,5.69798657718121,5.59496023729601,1.81%
122,5.25,5.419991566096623,3.24%
76,5.55254237288136,5.5936978210833335,0.74%
52,5.11111111111111,5.325897062884142,4.20%
30,6.12121212121212,5.975618785816156,2.38%
25,6.06081081081081,5.9557991688520975,1.73%
