,RMSE
0,13.809090104055649
1,13.809090104055649
2,13.809090104055649
3,13.809090104055649
4,9.873704149719188
5,9.873704149719188
6,9.873704149719188
7,9.873704149719188
8,9.873704149719188
9,9.873704149719188
10,9.873704149719188
11,9.873704149719188
12,9.873704149719188
13,9.873704149719188
14,9.873704149719188
15,9.873704149719188
16,9.873704149719188
17,9.873704149719188
18,9.873704149719188
19,9.873704149719188
20,9.873704149719188
21,8.325070134493709
22,7.136649328250622
23,7.136649328250622
24,7.136649328250622
25,7.136649328250622
26,7.136649328250622
27,7.136649328250622
28,7.136649328250622
29,7.136649328250622
30,7.136649328250622
31,7.136649328250622
32,7.136649328250622
33,7.136649328250622
34,7.136649328250622
35,7.136649328250622
36,5.8277571497959375
37,5.8277571497959375
38,5.8277571497959375
39,5.8277571497959375
40,5.8277571497959375
41,5.8277571497959375
42,5.8277571497959375
43,5.8277571497959375
44,5.8277571497959375
45,5.8277571497959375
46,5.8277571497959375
47,5.8277571497959375
48,5.8277571497959375
49,5.8277571497959375
