,真实值,XG_预测,XG_误差率
100,5.73648648648649,5.642233371734619,1.64%
35,5.03678929765886,5.108295917510986,1.42%
30,6.12121212121212,5.952375888824463,2.76%
52,5.11111111111111,5.235675811767578,2.44%
77,5.97972972972973,5.876279830932617,1.73%
17,5.00675675675676,5.049036979675293,0.84%
41,5.01342281879195,5.056861400604248,0.87%
25,6.06081081081081,5.928811073303223,2.18%
0,6.0,5.878094673156738,2.03%
76,5.55254237288136,5.596956729888916,0.80%
10,5.79661016949153,5.70790433883667,1.53%
43,5.438127090301,5.53886079788208,1.85%
26,5.31772575250836,5.490073204040527,3.24%
3,5.29054054054054,5.401629447937012,2.10%
113,5.79933110367893,5.827946662902832,0.49%
75,5.09395973154362,5.205224990844727,2.18%
18,5.53691275167785,5.576007843017578,0.71%
122,5.25,5.373851299285889,2.36%
115,5.37162162162162,5.531186580657959,2.97%
90,5.15151515151515,5.286345958709717,2.62%
46,5.83946488294314,5.871123313903809,0.54%
9,5.69798657718121,5.628259658813477,1.22%
55,5.1864406779661,5.301086902618408,2.21%
95,5.53378378378379,5.54326868057251,0.17%
92,5.27272727272727,5.394689083099365,2.31%
