,真实值,XG_预测,XG_误差率
49,5.85906040268456,5.859286308288574,0.00%
84,5.21476510067114,5.214803218841553,0.00%
33,5.55852842809364,5.558536529541016,0.00%
114,5.57718120805369,5.577243804931641,0.00%
54,5.25503355704698,5.255000591278076,0.00%
66,4.98989898989899,4.990030288696289,0.00%
79,5.81879194630873,5.818878650665283,0.00%
4,5.38983050847458,5.389603614807129,0.00%
2,5.75593220338983,5.756102561950684,0.00%
109,5.83838383838384,5.838292598724365,0.00%
94,5.63389830508475,5.63406229019165,0.00%
11,4.99665551839465,4.996891498565674,0.00%
87,6.04013377926421,6.039919376373291,0.00%
83,5.89864864864865,5.898649215698242,0.00%
60,5.93959731543624,5.9397382736206055,0.00%
99,5.65540540540541,5.6554694175720215,0.00%
38,5.49324324324324,5.4933061599731445,0.00%
104,5.67457627118644,5.674505233764648,0.00%
116,6.10135135135135,6.10136079788208,0.00%
37,5.77702702702703,5.77708101272583,0.00%
53,5.85810810810811,5.858245849609375,0.00%
34,5.51515151515152,5.515182018280029,0.00%
12,5.71717171717172,5.717129707336426,0.00%
62,6.16271186440678,6.162416934967041,0.00%
40,6.0,5.9997148513793945,0.00%
61,5.30847457627119,5.308906555175781,0.01%
48,5.49664429530201,5.496409893035889,0.00%
89,6.02013422818792,6.019832134246826,0.01%
93,5.23745819397993,5.23734188079834,0.00%
96,5.7979797979798,5.797989368438721,0.00%
72,5.07070707070707,5.070699691772461,0.00%
21,5.12837837837838,5.128363609313965,0.00%
42,5.61486486486486,5.614741802215576,0.00%
118,5.33108108108108,5.331128120422363,0.00%
47,6.02027027027027,6.020066261291504,0.00%
23,5.02372881355932,5.0238356590271,0.00%
71,5.77852348993289,5.778435230255127,0.00%
108,5.7190635451505,5.718438625335693,0.01%
111,5.11705685618729,5.1170334815979,0.00%
58,6.12203389830509,6.121960163116455,0.00%
8,5.26779661016949,5.267825126647949,0.00%
107,5.05369127516779,5.053882122039795,0.00%
69,5.41216216216216,5.4123125076293945,0.00%
67,5.55555555555556,5.55571985244751,0.00%
31,6.08080808080808,6.0807576179504395,0.00%
45,5.87878787878788,5.878809452056885,0.00%
56,6.0406779661017,6.040753364562988,0.00%
7,5.67892976588629,5.67896032333374,0.00%
74,6.06040268456376,6.0602922439575195,0.00%
80,5.19732441471572,5.1973652839660645,0.00%
57,6.0,5.999880313873291,0.00%
97,5.97986577181208,5.97997522354126,0.00%
106,5.83728813559322,5.837068557739258,0.00%
119,6.04040404040404,6.040252208709717,0.00%
24,5.31313131313131,5.313030242919922,0.00%
78,5.95986622073579,5.959905624389648,0.00%
82,5.87796610169492,5.8778252601623535,0.00%
16,5.75757575757576,5.75725793838501,0.01%
32,5.27759197324415,5.277658462524414,0.00%
15,5.51839464882943,5.51826286315918,0.00%
5,5.81756756756757,5.817422389984131,0.00%
68,5.63636363636364,5.636418342590332,0.00%
65,5.34915254237288,5.349321365356445,0.00%
44,5.03030303030303,5.030422210693359,0.00%
27,5.33557046979866,5.335714817047119,0.00%
29,5.23232323232323,5.232359886169434,0.00%
63,5.07692307692308,5.076899528503418,0.00%
64,5.39393939393939,5.393994331359863,0.00%
121,5.35785953177257,5.357952117919922,0.00%
14,5.10508474576271,5.105226039886475,0.00%
6,5.59322033898305,5.59337854385376,0.00%
117,5.5959595959596,5.596114635467529,0.00%
39,5.14576271186441,5.145900726318359,0.00%
120,5.95959595959596,5.959680557250977,0.00%
88,5.06440677966102,5.06464958190918,0.00%
