,真实值,融合模型_预测,融合模型_误差率
88,5.06440677966102,5.064515792915287,0.00%
21,5.12837837837838,5.12888076055744,0.01%
97,5.97986577181208,5.979914913404773,0.00%
7,5.67892976588629,5.678943485556581,0.00%
94,5.63389830508475,5.633971931051105,0.00%
14,5.10508474576271,5.105148183940733,0.00%
83,5.89864864864865,5.898648903242351,0.00%
23,5.02372881355932,5.023776784993823,0.00%
5,5.81756756756757,5.817502385795416,0.00%
121,5.35785953177257,5.357901101063211,0.00%
29,5.23232323232323,5.232339689152131,0.00%
45,5.87878787878788,5.878797564745398,0.00%
80,5.19732441471572,5.1973427641750485,0.00%
87,6.04013377926421,6.040037516741759,0.00%
107,5.05369127516779,5.053776961518492,0.00%
67,5.55555555555556,5.555629321507046,0.00%
69,5.41216216216216,5.412229664208676,0.00%
48,5.49664429530201,5.496539053468233,0.00%
79,5.81879194630873,5.818830874795337,0.00%
60,5.93959731543624,5.938942437086579,0.01%
62,6.16271186440678,6.162579447107298,0.00%
16,5.75757575757576,5.757433063245216,0.00%
89,6.02013422818792,6.020073556137298,0.00%
84,5.21476510067114,5.214782214951725,0.00%
68,5.63636363636364,5.636388198342971,0.00%
120,5.95959595959596,5.959633942216588,0.00%
27,5.33557046979866,5.335635278767356,0.00%
72,5.07070707070707,5.070703757716011,0.00%
82,5.87796610169492,5.877902866721122,0.00%
4,5.38983050847458,5.389728637848378,0.00%
24,5.31313131313131,5.313085934669051,0.00%
2,5.75593220338983,5.75600869090696,0.00%
118,5.33108108108108,5.331102200785319,0.00%
66,4.98989898989899,4.989957940379398,0.00%
111,5.11705685618729,5.117046361473696,0.00%
12,5.71717171717172,5.717152855613017,0.00%
116,6.10135135135135,6.101355592650853,0.00%
56,6.0406779661017,6.040711818472076,0.00%
38,5.49324324324324,5.493271491570951,0.00%
93,5.23745819397993,5.237405971735134,0.00%
74,6.06040268456376,6.060353098985452,0.00%
34,5.51515151515152,5.5151652104337,0.00%
31,6.08080808080808,6.080785424014855,0.00%
39,5.14576271186441,5.14582467753762,0.00%
32,5.27759197324415,5.277621825574073,0.00%
104,5.67457627118644,5.6745443768337935,0.00%
57,6.0,5.999946263371681,0.00%
11,4.99665551839465,4.996761468675512,0.00%
49,5.85906040268456,5.859161829690443,0.00%
42,5.61486486486486,5.614809612246818,0.00%
54,5.25503355704698,5.2550187560895205,0.00%
117,5.5959595959596,5.596029205534583,0.00%
8,5.26779661016949,5.267809413486356,0.00%
108,5.7190635451505,5.718782968907102,0.00%
44,5.03030303030303,5.030356539866024,0.00%
96,5.7979797979798,5.797984094920544,0.00%
106,5.83728813559322,5.837189549617976,0.00%
40,6.0,5.999871974088707,0.00%
53,5.85810810810811,5.858169951231133,0.00%
109,5.83838383838384,5.838342873638767,0.00%
114,5.57718120805369,5.577209312774407,0.00%
65,5.34915254237288,5.349228340447128,0.00%
15,5.51839464882943,5.518335479753002,0.00%
119,6.04040404040404,6.0403358710718855,0.00%
99,5.65540540540541,5.65543414556185,0.00%
6,5.59322033898305,5.593291369741332,0.00%
37,5.77702702702703,5.777051265504032,0.00%
71,5.77852348993289,5.778483863138799,0.00%
64,5.39393939393939,5.393964059720008,0.00%
63,5.07692307692308,5.076912504163238,0.00%
78,5.95986622073579,5.959883912172213,0.00%
47,6.02027027027027,6.020103712438509,0.00%
58,6.12203389830509,6.12200079271018,0.00%
33,5.55852842809364,5.558532065478175,0.00%
61,5.30847457627119,5.308668525983467,0.00%
