,真实值,RF_预测,RF_误差率
31,30.28590116,30.285901160000073,0.00%
118,29.7586661,29.758666099999882,0.00%
47,30.22723585,30.227235850000092,0.00%
57,30.20443811,30.204438110000105,0.00%
7,29.96941184,29.969411840000017,0.00%
79,30.05235768,30.05235767999995,0.00%
21,29.64245324,29.642453239999924,0.00%
11,29.4309661,29.430966099999992,0.00%
8,29.72465768,29.7246576799999,0.00%
83,30.12149228,30.121492279999988,0.00%
56,30.26236203,30.26236203000006,0.00%
12,29.97015324,29.970153240000094,0.00%
89,30.21602516,30.21602515999991,0.00%
61,29.73586836,29.735868359999895,0.00%
72,29.53670967,29.5367096700001,0.00%
104,29.95894255,29.95894254999991,0.00%
78,30.18089898,30.1808989800001,0.00%
48,29.84087054,29.840870539999983,0.00%
71,30.03928784,30.039287839999886,0.00%
14,29.61891411,29.618914110000077,0.00%
53,30.09795315,30.097953149999977,0.00%
15,29.87673811,29.876738109999934,0.00%
27,29.75978386,29.759783860000116,0.00%
94,29.94587271,29.94587271,0.00%
119,30.25077498,30.25077497999997,0.00%
64,29.8180728,29.818072799999992,0.00%
45,30.11102299,30.11102298999989,0.00%
49,30.09869454,30.09869454,0.00%
114,29.90027724,29.90027723999994,0.00%
33,29.89953585,29.899535849999914,0.00%
97,30.19210967,30.19210966999988,0.00%
111,29.63012479,29.630124790000064,0.00%
29,29.70111855,29.7011185499999,0.00%
23,29.45450523,29.45450523,0.00%
6,29.91074653,29.910746530000075,0.00%
121,29.79453367,29.79453367000011,0.00%
99,29.95820116,29.958201159999895,0.00%
44,29.47804436,29.478044360000002,0.00%
74,30.26310342,30.263103420000085,0.00%
67,29.8879488,29.887948799999993,0.00%
16,30.0164901,30.0164900999999,0.00%
62,30.41518386,30.41295499990005,0.01%
42,29.92307498,29.923074979999928,0.00%
109,30.08748386,30.087483860000017,0.00%
107,29.48963141,29.48963140999993,0.00%
87,30.23956429,30.23956429000007,0.00%
80,29.66599237,29.66599236999993,0.00%
108,29.98174029,29.981740289999898,0.00%
60,30.14503141,30.14503141000015,0.00%
68,29.94661411,29.94661411000009,0.00%
40,30.19248603,30.192486029999905,0.00%
34,29.85319898,29.85319898000005,0.00%
38,29.83040125,29.830401250000012,0.00%
2,30.00527942,30.00527942000006,0.00%
66,29.40742697,29.407426970000103,0.00%
116,30.3681056,30.36810559999988,0.00%
84,29.6887901,29.688790100000002,0.00%
117,29.91186429,29.91186429000003,0.00%
37,30.02881855,30.028818550000075,0.00%
24,29.73624473,29.73624473000011,0.00%
32,29.73512697,29.73512697,0.00%
96,30.0404056,30.04040559999999,0.00%
63,29.5602488,29.5602488000001,0.00%
54,29.72391628,29.72391627999994,0.00%
93,29.71158784,29.711587839999996,0.00%
69,29.82965985,29.829715903450072,0.00%
82,30.10990523,30.10990522999993,0.00%
4,29.80686212,29.80686212,0.00%
120,30.15735985,30.15735984999994,0.00%
58,30.39164473,30.391644729999896,0.00%
106,30.0863661,30.086366100000056,0.00%
88,29.51317054,29.513170539999937,0.00%
39,29.65404029,29.654040290000008,0.00%
5,30.05161628,30.05161628000011,0.00%
65,29.79379228,29.793792280000098,0.00%
