,真实值,XG_预测,XG_误差率
30,30.35651855,30.2391414642334,0.39%
75,29.64171184,29.75886344909668,0.40%
95,29.88832516,29.968517303466797,0.27%
122,29.74745541,29.818876266479492,0.24%
77,30.16857054,30.219696044921875,0.17%
26,29.80612072,29.928285598754883,0.41%
115,29.81733141,29.959205627441406,0.48%
9,30.06282697,30.027475357055664,0.12%
3,29.80574436,29.908422470092773,0.34%
52,29.66525097,29.785417556762695,0.41%
90,29.67757942,29.800634384155273,0.41%
100,30.06394473,30.0351619720459,0.10%
10,30.07515541,30.04530906677246,0.10%
18,29.93428566,29.969850540161133,0.12%
0,30.18015759,30.22673797607422,0.15%
55,29.71232923,29.811630249023438,0.33%
41,29.5595074,29.656879425048828,0.33%
46,30.13456212,30.1291446685791,0.02%
92,29.78220523,29.861513137817383,0.27%
43,29.8872074,29.966394424438477,0.26%
35,29.59537498,29.668689727783203,0.25%
17,29.50158349,29.637378692626953,0.46%
76,29.93540342,29.999853134155273,0.22%
113,30.11028159,30.06564712524414,0.15%
25,30.33297942,30.228355407714844,0.34%
