,真实值,XG_预测,XG_误差率
93,29.71158784,29.71156883239746,0.00%
49,30.09869454,30.09978675842285,0.00%
72,29.53670967,29.53684425354004,0.00%
106,30.0863661,30.086410522460938,0.00%
7,29.96941184,29.969486236572266,0.00%
29,29.70111855,29.70130729675293,0.00%
32,29.73512697,29.73455238342285,0.00%
71,30.03928784,30.03849220275879,0.00%
82,30.10990523,30.109893798828125,0.00%
11,29.4309661,29.430931091308594,0.00%
2,30.00527942,30.005529403686523,0.00%
21,29.64245324,29.642427444458008,0.00%
4,29.80686212,29.806921005249023,0.00%
118,29.7586661,29.758769989013672,0.00%
16,30.0164901,30.016687393188477,0.00%
8,29.72465768,29.724720001220703,0.00%
119,30.25077498,30.2506046295166,0.00%
116,30.3681056,30.3679256439209,0.00%
88,29.51317054,29.51323890686035,0.00%
84,29.6887901,29.689348220825195,0.00%
109,30.08748386,30.08734893798828,0.00%
24,29.73624473,29.736364364624023,0.00%
107,29.48963141,29.48989486694336,0.00%
39,29.65404029,29.654224395751953,0.00%
97,30.19210967,30.192062377929688,0.00%
23,29.45450523,29.45452880859375,0.00%
87,30.23956429,30.239547729492188,0.00%
63,29.5602488,29.560148239135742,0.00%
34,29.85319898,29.853313446044922,0.00%
42,29.92307498,29.92313003540039,0.00%
79,30.05235768,30.052337646484375,0.00%
67,29.8879488,29.887964248657227,0.00%
57,30.20443811,30.20444679260254,0.00%
45,30.11102299,30.111114501953125,0.00%
69,29.82965985,29.828746795654297,0.00%
104,29.95894255,29.95902442932129,0.00%
94,29.94587271,29.946075439453125,0.00%
6,29.91074653,29.910737991333008,0.00%
14,29.61891411,29.618896484375,0.00%
37,30.02881855,30.02870750427246,0.00%
78,30.18089898,30.1807804107666,0.00%
38,29.83040125,29.830322265625,0.00%
54,29.72391628,29.72400665283203,0.00%
62,30.41518386,30.414979934692383,0.00%
99,29.95820116,29.958093643188477,0.00%
74,30.26310342,30.262928009033203,0.00%
58,30.39164473,30.391481399536133,0.00%
48,29.84087054,29.840648651123047,0.00%
61,29.73586836,29.735151290893555,0.00%
89,30.21602516,30.216094970703125,0.00%
117,29.91186429,29.91202163696289,0.00%
15,29.87673811,29.8769474029541,0.00%
114,29.90027724,29.90024185180664,0.00%
65,29.79379228,29.793701171875,0.00%
47,30.22723585,30.22707748413086,0.00%
68,29.94661411,29.946685791015625,0.00%
64,29.8180728,29.818058013916016,0.00%
108,29.98174029,29.981830596923828,0.00%
66,29.40742697,29.406917572021484,0.00%
44,29.47804436,29.47812843322754,0.00%
40,30.19248603,30.1940860748291,0.01%
31,30.28590116,30.285844802856445,0.00%
27,29.75978386,29.759763717651367,0.00%
96,30.0404056,30.040346145629883,0.00%
33,29.89953585,29.899593353271484,0.00%
53,30.09795315,30.097875595092773,0.00%
111,29.63012479,29.63018798828125,0.00%
120,30.15735985,30.157489776611328,0.00%
56,30.26236203,30.26226234436035,0.00%
60,30.14503141,30.144954681396484,0.00%
121,29.79453367,29.794538497924805,0.00%
83,30.12149228,30.12139892578125,0.00%
12,29.97015324,29.97021484375,0.00%
5,30.05161628,30.05160903930664,0.00%
80,29.66599237,29.665916442871094,0.00%
