,真实值,XG_预测,XG_误差率
102,29.86440967,29.95323371887207,0.30%
85,30.02807715,30.017316818237305,0.04%
98,29.87599672,29.996559143066406,0.40%
20,29.77099454,29.833581924438477,0.21%
91,30.34456647,30.231895446777344,0.37%
110,29.60658566,29.716245651245117,0.37%
36,29.58304653,29.573959350585938,0.03%
81,30.04002923,30.021772384643555,0.06%
22,29.86366827,29.926809310913086,0.21%
19,30.13382072,30.059999465942383,0.24%
0,29.65366392,29.77871322631836,0.42%
13,30.30944029,30.214195251464844,0.31%
73,29.99295097,30.011627197265625,0.06%
105,30.28664255,30.184452056884766,0.34%
103,29.57183585,29.569761276245117,0.01%
70,30.27431411,30.114290237426758,0.53%
101,30.75296110567562,30.3309383392334,1.37%
1,29.78332299,29.91077995300293,0.43%
123,30.12223367,30.04043197631836,0.27%
86,29.95782479,29.998411178588867,0.14%
59,30.20369672,30.113550186157227,0.30%
50,30.43872299,30.265745162963867,0.57%
28,29.58378793,29.60539436340332,0.07%
51,29.74819681,29.816722869873047,0.23%
112,29.98248168,29.99984359741211,0.06%
