,真实值,融合模型_预测,融合模型_误差率
48,29.84087054,29.840834313244564,0.00%
71,30.03928784,30.037450811788084,0.01%
64,29.8180728,29.818070385945468,0.00%
12,29.97015324,29.97016329775518,0.00%
57,30.20443811,30.20443952756785,0.00%
33,29.89953585,29.89954523828915,0.00%
29,29.70111855,29.70114936579631,0.00%
82,30.10990523,30.10990336368617,0.00%
21,29.64245324,29.64244902848288,0.00%
11,29.4309661,29.430960384295275,0.00%
118,29.7586661,29.758683061471523,0.00%
107,29.48963141,29.48967442337845,0.00%
99,29.95820116,29.958183606234766,0.00%
23,29.45450523,29.454509079566325,0.00%
116,30.3681056,30.368076219415556,0.00%
45,30.11102299,30.111037930726948,0.00%
87,30.23956429,30.23956158624368,0.00%
5,30.05161628,30.051615097846074,0.00%
109,30.08748386,30.087461831916468,0.00%
97,30.19210967,30.192101948845565,0.00%
66,29.40742697,29.407343802983185,0.00%
2,30.00527942,30.005320233663156,0.00%
38,29.83040125,29.830388354591847,0.00%
15,29.87673811,29.876772280278168,0.00%
37,30.02881855,30.02880042008536,0.00%
88,29.51317054,29.51318170193633,0.00%
111,29.63012479,29.630135108086787,0.00%
31,30.28590116,30.28446939082866,0.00%
63,29.5602488,29.560232381899795,0.00%
67,29.8879488,29.887951322229746,0.00%
49,30.09869454,30.09887286137516,0.00%
69,29.82965985,29.829510779902808,0.00%
117,29.91186429,29.911866710611925,0.00%
8,29.72465768,29.72466785489309,0.00%
83,30.12149228,30.121477038494888,0.00%
56,30.26236203,30.26234575479358,0.00%
120,30.15735985,30.15738106250792,0.00%
65,29.79379228,29.79377740520416,0.00%
106,30.0863661,30.086373352646728,0.00%
6,29.91074653,29.910745135931982,0.00%
74,30.26310342,30.263074781474877,0.00%
61,29.73586836,29.736264262183603,0.00%
53,30.09795315,30.097940487974313,0.00%
27,29.75978386,29.759780571453383,0.00%
39,29.65404029,29.65407034808196,0.00%
32,29.73512697,29.73513094075813,0.00%
14,29.61891411,29.618911232347003,0.00%
47,30.22723585,30.22720999434797,0.00%
72,29.53670967,29.53673164282295,0.00%
4,29.80686212,29.80687173391821,0.00%
93,29.71158784,29.711584736717953,0.00%
121,29.79453367,29.794534458232715,0.00%
78,30.18089898,30.180879621757896,0.00%
7,29.96941184,29.96942398637916,0.00%
84,29.6887901,29.68888122176738,0.00%
42,29.92307498,29.92308396863674,0.00%
44,29.47804436,29.478058086241234,0.00%
62,30.41518386,30.41515056607227,0.00%
108,29.98174029,29.98175503398748,0.00%
68,29.94661411,29.946625813023033,0.00%
16,30.0164901,30.016522311132725,0.00%
89,30.21602516,30.216233517733087,0.00%
60,30.14503141,30.145018882881185,0.00%
104,29.95894255,29.95895591805238,0.00%
58,30.39164473,30.39161806380173,0.00%
79,30.05235768,30.0523544092219,0.00%
119,30.25077498,30.250747167676156,0.00%
54,29.72391628,29.723931034748038,0.00%
94,29.94587271,29.945905808686224,0.00%
80,29.66599237,29.665979973733997,0.00%
40,30.19248603,30.19274726180875,0.00%
24,29.73624473,29.737562271345478,0.00%
34,29.85319898,29.853217668333908,0.00%
114,29.90027724,29.900296670081243,0.00%
96,30.0404056,30.040395893164053,0.00%
