,真实值,融合模型_预测,融合模型_误差率
103,29.57183585,29.51111464514873,0.21%
1,29.78332299,29.87942898163826,0.32%
70,30.27431411,30.161430533607113,0.37%
101,30.75296110567562,30.331190981791188,1.37%
81,30.04002923,30.067261076905094,0.09%
123,30.12223367,30.112484065471815,0.03%
20,29.77099454,29.82809499243183,0.19%
36,29.58304653,29.67867791083316,0.32%
85,30.02807715,30.052423835005396,0.08%
22,29.86366827,29.88194982155256,0.06%
98,29.87599672,29.967053101588885,0.30%
86,29.95782479,29.985052740838988,0.09%
19,30.13382072,30.127952521142518,0.02%
50,30.43872299,30.259467369993217,0.59%
51,29.74819681,29.818992300627514,0.24%
0,29.65366392,29.814243707583387,0.54%
102,29.86440967,29.93381828807063,0.23%
73,29.99295097,30.019972776743884,0.09%
110,29.60658566,29.7614158448087,0.52%
13,30.30944029,30.17212120025568,0.45%
112,29.98248168,29.989246564116257,0.02%
91,30.34456647,30.21522566631145,0.43%
105,30.28664255,30.171943088282436,0.38%
28,29.58378793,29.74555775361548,0.55%
59,30.20369672,30.145072445709353,0.19%
