,真实值,RF_预测,RF_误差率
46,0.310826103357224,0.30672218356026193,1.32%
92,0.295224312590449,0.2922899133592035,0.99%
76,0.306661704503163,0.30123552274786297,1.77%
17,0.280367471929228,0.282686530602731,0.83%
3,0.295254833040422,0.292758435441388,0.85%
18,0.306107431935247,0.3003512138362498,1.88%
30,0.318773946360153,0.31209230230839013,2.10%
90,0.287094547964113,0.29106767113327947,1.38%
41,0.283210655450403,0.28439767931237314,0.42%
52,0.284736481861739,0.2891022543639763,1.53%
77,0.312239484653278,0.3067536274690048,1.76%
113,0.310216256524981,0.30485270563614697,1.73%
122,0.294409058740269,0.2920042091635845,0.82%
10,0.310030395136778,0.3036015560554365,2.07%
75,0.284406898979233,0.28847917980457366,1.43%
35,0.283844299001033,0.2870075812531738,1.11%
9,0.308834446919079,0.3013662033617743,2.42%
115,0.299592139414164,0.2981092537037606,0.49%
55,0.290184921763869,0.2916633790337679,0.51%
25,0.315196998123827,0.30805888121840974,2.26%
100,0.309223115193264,0.30345605018542987,1.87%
95,0.302921024161558,0.2993191752998111,1.19%
0,0.312883435582822,0.3073950900436972,1.75%
43,0.300795372378886,0.2984291740086446,0.79%
26,0.295645810464691,0.295530574027927,0.04%
