,真实值,RF_预测,RF_误差率
34,0.292784942488672,0.29278494248867265,0.00%
6,0.294812164579606,0.29481216457960513,0.00%
38,0.291929824561404,0.2919298245614053,0.00%
7,0.298265042451089,0.2982650424510903,0.00%
45,0.306408797876375,0.30640879787637404,0.00%
97,0.309620346479912,0.30956356995976664,0.02%
58,0.319513122860403,0.3195131228604015,0.00%
48,0.292302234835048,0.29230223483504847,0.00%
118,0.28861646234676,0.2886164623467595,0.00%
119,0.314436885865457,0.31443688586545593,0.00%
16,0.300931098696462,0.30093109869646106,0.00%
69,0.291802094618996,0.29180209461899553,0.00%
68,0.296930763740186,0.29693076374018557,0.00%
12,0.29865893439652,0.2986589343965206,0.00%
14,0.282940360610264,0.28294036061026323,0.00%
15,0.293072179905695,0.2930721799056941,0.00%
21,0.284456484930579,0.28445648493057957,0.00%
109,0.304477611940298,0.3044776119402992,0.00%
104,0.29820788530466,0.2982078853046612,0.00%
40,0.310649750096117,0.3106497500961179,0.00%
2,0.300321773328566,0.3003217733285676,0.00%
87,0.313665778454511,0.31366577845451216,0.00%
108,0.299038803844785,0.299038803844786,0.00%
56,0.315105162523901,0.31510516252389964,0.00%
27,0.289156626506024,0.28915662650602253,0.00%
114,0.294014700735037,0.2940759517814506,0.02%
111,0.283571915473756,0.283571915473757,0.00%
79,0.302607418288652,0.30260741828865184,0.00%
8,0.287408440878968,0.2874084408789684,0.00%
117,0.296083363277039,0.2960833632770398,0.00%
54,0.286829960951367,0.28682996095136604,0.00%
89,0.311450381679389,0.3114503816793875,0.00%
39,0.285022483569699,0.28502248356969817,0.00%
32,0.287729196050776,0.2877291960507761,0.00%
61,0.287967089475489,0.28796708947548827,0.00%
121,0.289834681674288,0.28983468167428733,0.00%
80,0.285314685314685,0.28531468531468623,0.00%
37,0.301615798922801,0.3016157989228019,0.00%
93,0.286516853932584,0.2865168539325837,0.00%
82,0.305847076461769,0.3058470764617682,0.00%
44,0.279681550709588,0.27968155070958844,0.00%
71,0.301775147928994,0.3017751479289931,0.00%
99,0.297365571995669,0.2973655719956695,0.00%
106,0.303645246148065,0.303645246148065,0.00%
88,0.281516911513495,0.281516911513494,0.00%
57,0.310995927434284,0.3109959274342841,0.00%
74,0.31655781790242,0.3165578179024207,0.00%
78,0.308256880733945,0.3082877807596018,0.01%
107,0.28060522696011,0.28060522696011087,0.00%
63,0.282675814751286,0.28267581475128617,0.00%
64,0.291063228541152,0.29106322854115324,0.00%
42,0.29650547123191,0.2965054712319101,0.00%
11,0.278524646673561,0.2785246466735604,0.00%
33,0.293948126801153,0.2940147007350385,0.02%
72,0.281767955801105,0.281767955801106,0.00%
49,0.305298258614302,0.3052982586143007,0.00%
120,0.30803738317757,0.3080373831775702,0.00%
94,0.296511627906977,0.2965116279069785,0.00%
53,0.304761904761905,0.3047619047619041,0.00%
84,0.285617137028222,0.28561713702822344,0.00%
47,0.312383785793975,0.3123837857939758,0.00%
66,0.277377274287676,0.27737727428767495,0.00%
65,0.289491997216423,0.2894919972164231,0.00%
62,0.320978219335116,0.32097821933511694,0.00%
29,0.285910652920962,0.28591065292096135,0.00%
116,0.318061340401363,0.3180613404013638,0.00%
83,0.307464892830746,0.3074648928307454,0.00%
31,0.316622691292876,0.31662269129287735,0.00%
96,0.302106027596224,0.3021060275962241,0.00%
4,0.290705800139762,0.2907058001397616,0.00%
5,0.302282080059858,0.3022820800598591,0.00%
67,0.293164200140944,0.2931642001409433,0.00%
60,0.307809523809524,0.30780952380952437,0.00%
23,0.279452054794521,0.27945205479452023,0.00%
24,0.288057040998217,0.28805704099821794,0.00%
