,真实值,XG_预测,XG_误差率
90,0.287094547964113,0.29195165634155273,1.69%
9,0.308834446919079,0.30386343598365784,1.61%
77,0.312239484653278,0.30680736899375916,1.74%
100,0.309223115193264,0.3042745292186737,1.60%
43,0.300795372378886,0.30166393518447876,0.29%
26,0.295645810464691,0.2999154329299927,1.44%
3,0.295254833040422,0.29926198720932007,1.36%
113,0.310216256524981,0.30591341853141785,1.39%
35,0.283844299001033,0.28715336322784424,1.17%
46,0.310826103357224,0.3063315749168396,1.45%
75,0.284406898979233,0.2876446545124054,1.14%
41,0.283210655450403,0.2866117060184479,1.20%
92,0.295224312590449,0.29713788628578186,0.65%
0,0.312883435582822,0.3108120560646057,0.66%
10,0.310030395136778,0.3048821985721588,1.66%
52,0.284736481861739,0.2909068167209625,2.17%
115,0.299592139414164,0.30041536688804626,0.27%
76,0.306661704503163,0.3034595847129822,1.04%
25,0.315196998123827,0.31090235710144043,1.36%
95,0.302921024161558,0.3023023307323456,0.20%
55,0.290184921763869,0.2935316562652588,1.15%
122,0.294409058740269,0.2939966320991516,0.14%
30,0.318773946360153,0.31219926476478577,2.06%
18,0.306107431935247,0.30244478583335876,1.20%
17,0.280367471929228,0.2842981815338135,1.40%
