,真实值,XG_预测,XG_误差率
44,0.279681550709588,0.2799006402492523,0.08%
56,0.315105162523901,0.31486472487449646,0.08%
69,0.291802094618996,0.29163017868995667,0.06%
68,0.296930763740186,0.2968968152999878,0.01%
116,0.318061340401363,0.31792765855789185,0.04%
63,0.282675814751286,0.2829902172088623,0.11%
15,0.293072179905695,0.2929985225200653,0.03%
94,0.296511627906977,0.2965187728404999,0.00%
114,0.294014700735037,0.2942805290222168,0.09%
120,0.30803738317757,0.30823343992233276,0.06%
32,0.287729196050776,0.287815660238266,0.03%
54,0.286829960951367,0.2867586016654968,0.02%
106,0.303645246148065,0.30352556705474854,0.04%
7,0.298265042451089,0.2984280288219452,0.05%
8,0.287408440878968,0.28750288486480713,0.03%
24,0.288057040998217,0.2882125675678253,0.05%
33,0.293948126801153,0.2939634919166565,0.01%
84,0.285617137028222,0.2856970429420471,0.03%
93,0.286516853932584,0.28654804825782776,0.01%
64,0.291063228541152,0.29130420088768005,0.08%
38,0.291929824561404,0.2918955385684967,0.01%
39,0.285022483569699,0.28511735796928406,0.03%
72,0.281767955801105,0.28171417117118835,0.02%
74,0.31655781790242,0.31646814942359924,0.03%
107,0.28060522696011,0.28068602085113525,0.03%
119,0.314436885865457,0.3141944706439972,0.08%
31,0.316622691292876,0.31646832823753357,0.05%
27,0.289156626506024,0.2892509996891022,0.03%
89,0.311450381679389,0.31132397055625916,0.04%
2,0.300321773328566,0.300380676984787,0.02%
82,0.305847076461769,0.3056795001029968,0.05%
71,0.301775147928994,0.3017294108867645,0.02%
109,0.304477611940298,0.3045031428337097,0.01%
5,0.302282080059858,0.3024122714996338,0.04%
62,0.320978219335116,0.320828378200531,0.05%
48,0.292302234835048,0.2924191355705261,0.04%
49,0.305298258614302,0.3053271472454071,0.01%
108,0.299038803844785,0.2989845871925354,0.02%
14,0.282940360610264,0.28305724263191223,0.04%
118,0.28861646234676,0.2888311445713043,0.07%
6,0.294812164579606,0.29482167959213257,0.00%
99,0.297365571995669,0.29728013277053833,0.03%
117,0.296083363277039,0.29599371552467346,0.03%
80,0.285314685314685,0.2851208448410034,0.07%
16,0.300931098696462,0.3010173439979553,0.03%
111,0.283571915473756,0.28347957134246826,0.03%
65,0.289491997216423,0.28939172625541687,0.03%
60,0.307809523809524,0.30793362855911255,0.04%
12,0.29865893439652,0.2985644042491913,0.03%
53,0.304761904761905,0.30463266372680664,0.04%
67,0.293164200140944,0.293226957321167,0.02%
21,0.284456484930579,0.2847343385219574,0.10%
40,0.310649750096117,0.31060266494750977,0.02%
79,0.302607418288652,0.30247756838798523,0.04%
47,0.312383785793975,0.3121979236602783,0.06%
97,0.309620346479912,0.3094739317893982,0.05%
37,0.301615798922801,0.3015034794807434,0.04%
88,0.281516911513495,0.28160905838012695,0.03%
66,0.277377274287676,0.2776516079902649,0.10%
23,0.279452054794521,0.2797129154205322,0.09%
45,0.306408797876375,0.30644524097442627,0.01%
87,0.313665778454511,0.3136543929576874,0.00%
42,0.29650547123191,0.2964229881763458,0.03%
11,0.278524646673561,0.2788545787334442,0.12%
58,0.319513122860403,0.3192233741283417,0.09%
121,0.289834681674288,0.2898545563220978,0.01%
57,0.310995927434284,0.3107835054397583,0.07%
61,0.287967089475489,0.2881081700325012,0.05%
34,0.292784942488672,0.2925872504711151,0.07%
78,0.308256880733945,0.308414101600647,0.05%
83,0.307464892830746,0.3072487711906433,0.07%
96,0.302106027596224,0.30207011103630066,0.01%
104,0.29820788530466,0.29817113280296326,0.01%
29,0.285910652920962,0.2859525978565216,0.01%
4,0.290705800139762,0.29055243730545044,0.05%
