,真实值,XG_预测,XG_误差率
103,0.276239316239316,0.2791558504104614,1.06%
28,0.280848105665624,0.2892949879169464,3.01%
101,0.317315026697178,0.30769702792167664,3.03%
0,0.285613290915518,0.2896755039691925,1.42%
86,0.294353369763206,0.2975313663482666,1.08%
36,0.278308321964529,0.28600263595581055,2.76%
51,0.286787299419597,0.2908169627189636,1.41%
1,0.288951841359773,0.29495149850845337,2.08%
98,0.292682926829268,0.2965348958969116,1.32%
19,0.303946883068978,0.3024410009384155,0.50%
91,0.314329738058552,0.3051426112651825,2.92%
85,0.299963596650892,0.29941269755363464,0.18%
59,0.304237595074248,0.30264100432395935,0.52%
105,0.308623298033283,0.3043188452720642,1.39%
22,0.290542970154621,0.29603126645088196,1.89%
73,0.299496040316775,0.2987554371356964,0.25%
102,0.2915654286706,0.29641959071159363,1.66%
81,0.300441826215022,0.2995398938655853,0.30%
20,0.288951841359773,0.29228675365448,1.15%
13,0.313017306245297,0.30454859137535095,2.71%
50,0.31586940015186,0.3063422739505768,3.02%
123,0.303120356612184,0.3007645308971405,0.78%
70,0.30690537084399,0.3033485412597656,1.16%
112,0.297810218978102,0.29819536209106445,0.13%
110,0.282416836388323,0.28939351439476013,2.47%
