,真实值,融合模型_预测,融合模型_误差率
109,0.304477611940298,0.30448334336535055,0.00%
38,0.291929824561404,0.2919221277058544,0.00%
88,0.281516911513495,0.2815375975447789,0.01%
16,0.300931098696462,0.3009504598865924,0.01%
54,0.286829960951367,0.2868139415198444,0.01%
82,0.305847076461769,0.30580945727918685,0.01%
84,0.285617137028222,0.2856350750905104,0.01%
29,0.285910652920962,0.28592006913098506,0.00%
47,0.312383785793975,0.3123420616415131,0.01%
66,0.277377274287676,0.2774388594045829,0.02%
78,0.308256880733945,0.3082921752142244,0.01%
14,0.282940360610264,0.2829515529079079,0.00%
79,0.302607418288652,0.30256360982581104,0.01%
116,0.318061340401363,0.3180313301916048,0.01%
44,0.279681550709588,0.2797307340756354,0.02%
2,0.300321773328566,0.3003349965983311,0.00%
31,0.316622691292876,0.3165880383620859,0.01%
65,0.289491997216423,0.28946948740885026,0.01%
58,0.319513122860403,0.3194480772266738,0.02%
117,0.296083363277039,0.29606323827140657,0.01%
80,0.285314685314685,0.2852711701063085,0.02%
89,0.311450381679389,0.31142200367215456,0.01%
64,0.291063228541152,0.291117324374047,0.02%
32,0.287729196050776,0.28774860637857996,0.01%
93,0.286516853932584,0.28652385674029157,0.00%
114,0.294014700735037,0.29407437647297646,0.02%
121,0.289834681674288,0.2898391433299182,0.00%
7,0.298265042451089,0.298301631228221,0.01%
87,0.313665778454511,0.3136632225266535,0.00%
33,0.293948126801153,0.29395157611279765,0.00%
71,0.301775147928994,0.30176488042971733,0.00%
94,0.296511627906977,0.2965084573073078,0.00%
106,0.303645246148065,0.30361837941283065,0.01%
67,0.293164200140944,0.2932689984339462,0.04%
72,0.281767955801105,0.28175588170051225,0.00%
69,0.291802094618996,0.2917635012471705,0.01%
49,0.305298258614302,0.30530474381720213,0.00%
74,0.31655781790242,0.31653768824390976,0.01%
97,0.309620346479912,0.3095434471051941,0.02%
63,0.282675814751286,0.28276144141836546,0.03%
23,0.279452054794521,0.2795106153432168,0.02%
34,0.292784942488672,0.29274056264799647,0.02%
99,0.297365571995669,0.2973463917614564,0.01%
40,0.310649750096117,0.3106391799607161,0.00%
45,0.306408797876375,0.3064169789800184,0.00%
8,0.287408440878968,0.2874296425900751,0.01%
37,0.301615798922801,0.30157736999524903,0.01%
4,0.290705800139762,0.29067137174838564,0.01%
5,0.302282080059858,0.3023259651947446,0.01%
107,0.28060522696011,0.2806233643642184,0.01%
68,0.296930763740186,0.29692314266177383,0.00%
21,0.284456484930579,0.28451886022660317,0.02%
12,0.29865893439652,0.2986377133430385,0.01%
57,0.310995927434284,0.31094824086408446,0.02%
104,0.29820788530466,0.29819963474305555,0.00%
60,0.307809523809524,0.30790468865117526,0.03%
118,0.28861646234676,0.28866465631553484,0.02%
120,0.30803738317757,0.308014091324447,0.01%
48,0.292302234835048,0.29232847785729854,0.01%
119,0.314436885865457,0.31438246612186316,0.02%
61,0.287967089475489,0.28799876062094015,0.01%
15,0.293072179905695,0.2930556445742264,0.01%
11,0.278524646673561,0.27862390874843773,0.04%
83,0.307464892830746,0.30741637572786534,0.02%
111,0.283571915473756,0.2835511851585697,0.01%
42,0.29650547123191,0.2964917291919385,0.00%
96,0.302106027596224,0.3020979646950168,0.00%
62,0.320978219335116,0.3209445815293936,0.01%
56,0.315105162523901,0.31505118672505406,0.02%
53,0.304761904761905,0.30473289146831084,0.01%
39,0.285022483569699,0.2850437819042991,0.01%
108,0.299038803844785,0.29902663275958685,0.00%
27,0.289156626506024,0.28917781232263223,0.01%
6,0.294812164579606,0.2948143006028256,0.00%
24,0.288057040998217,0.288091955126089,0.01%
