,真实值,融合模型_预测,融合模型_误差率
20,0.288951841359773,0.2930518417321042,1.42%
101,0.317315026697178,0.3135288304030408,1.19%
0,0.285613290915518,0.29106584964880605,1.91%
1,0.288951841359773,0.29547640694931115,2.26%
110,0.282416836388323,0.2878970690571599,1.94%
59,0.304237595074248,0.302560690328893,0.55%
112,0.297810218978102,0.2982787918114416,0.16%
105,0.308623298033283,0.3036367563265264,1.62%
22,0.290542970154621,0.2956883439838274,1.77%
28,0.280848105665624,0.2829620141298962,0.75%
19,0.303946883068978,0.30137749180761475,0.85%
73,0.299496040316775,0.30053590795705565,0.35%
123,0.303120356612184,0.3011408876776065,0.65%
13,0.313017306245297,0.30436470930060355,2.76%
70,0.30690537084399,0.3028235750702006,1.33%
98,0.292682926829268,0.297531894237532,1.66%
85,0.299963596650892,0.3006599739674799,0.23%
102,0.2915654286706,0.29584183672570497,1.47%
86,0.294353369763206,0.29815260727569226,1.29%
103,0.276239316239316,0.27964616549722987,1.23%
50,0.31586940015186,0.30833114591055144,2.39%
81,0.300441826215022,0.3009614785069784,0.17%
36,0.278308321964529,0.2805814081045131,0.82%
51,0.286787299419597,0.2913650760349955,1.60%
91,0.314329738058552,0.305176920516649,2.91%
