,0,,,RF,RMSE,,,,XG,RMSE,,,,
0,0.775510204,,,0,2.470087596,1.915577631,,,0,0.657420702,0.147584373,,,2.063162005
1,0.224489796,,,1,2.470087596,1.915577631,,,1,0.657420702,0.147584373,,,2.063162005
,,,,2,2.470087596,1.915577631,,,2,0.502354247,0.112773505,,,2.028351136
,,,,3,0.528642761,0.409967747,,,3,0.502354247,0.112773505,,,0.522741252
,,,,4,0.528642761,0.409967747,,,4,0.502354247,0.112773505,,,0.522741252
,,,,5,0.528642761,0.409967747,,,5,0.502354247,0.112773505,,,0.522741252
,,,,6,0.528642761,0.409967747,,,6,0.502354247,0.112773505,,,0.522741252
,,,,7,0.528642761,0.409967747,,,7,0.502354247,0.112773505,,,0.522741252
,,,,8,0.528642761,0.409967747,,,8,0.502354247,0.112773505,,,0.522741252
,,,,9,0.528642761,0.409967747,,,9,0.502354247,0.112773505,,,0.522741252
,,,,10,0.528642761,0.409967747,,,10,0.499299985,0.112087854,,,0.522055601
,,,,11,0.246202855,0.190932776,,,11,0.499299985,0.112087854,,,0.303020629
,,,,12,0.246202855,0.190932776,,,12,0.499299985,0.112087854,,,0.303020629
,,,,13,0.246202855,0.190932776,,,13,0.47497474,0.106627079,,,0.297559855
,,,,14,0.246202855,0.190932776,,,14,0.47497474,0.106627079,,,0.297559855
,,,,15,0.246202855,0.190932776,,,15,0.47497474,0.106627079,,,0.297559855
,,,,16,0.246202855,0.190932776,,,16,0.47497474,0.106627079,,,0.297559855
,,,,17,0.246202855,0.190932776,,,17,0.47497474,0.106627079,,,0.297559855
,,,,18,0.246202855,0.190932776,,,18,0.47497474,0.106627079,,,0.297559855
,,,,19,0.200307776,0.155340684,,,19,0.47497474,0.106627079,,,0.261967763
,,,,20,0.200307776,0.155340684,,,20,0.47497474,0.106627079,,,0.261967763
,,,,21,0.200307776,0.155340684,,,21,0.47497474,0.106627079,,,0.261967763
,,,,22,0.200307776,0.155340684,,,22,0.47497474,0.106627079,,,0.261967763
,,,,23,0.200307776,0.155340684,,,23,0.385577276,0.086558243,,,0.241898926
,,,,24,0.200307776,0.155340684,,,24,0.385577276,0.086558243,,,0.241898926
,,,,25,0.200307776,0.155340684,,,25,0.385577276,0.086558243,,,0.241898926
,,,,26,0.200307776,0.155340684,,,26,0.385577276,0.086558243,,,0.241898926
,,,,27,0.200307776,0.155340684,,,27,0.385577276,0.086558243,,,0.241898926
,,,,28,0.200307776,0.155340684,,,28,0.385577276,0.086558243,,,0.241898926
,,,,29,0.200307776,0.155340684,,,29,0.385577276,0.086558243,,,0.241898926
,,,,30,0.200307776,0.155340684,,,30,0.385577276,0.086558243,,,0.241898926
,,,,31,0.200307776,0.155340684,,,31,0.385577276,0.086558243,,,0.241898926
,,,,32,0.200307776,0.155340684,,,32,0.385577276,0.086558243,,,0.241898926
,,,,33,0.200307776,0.155340684,,,33,0.385577276,0.086558243,,,0.241898926
,,,,34,0.192624752,0.149382421,,,34,0.385577276,0.086558243,,,0.235940664
,,,,35,0.192624752,0.149382421,,,35,0.385577276,0.086558243,,,0.235940664
,,,,36,0.192624752,0.149382421,,,36,0.366477229,0.082270473,,,0.231652894
,,,,37,0.192624752,0.149382421,,,37,0.366477229,0.082270473,,,0.231652894
,,,,38,0.192624752,0.149382421,,,38,0.366477229,0.082270473,,,0.231652894
,,,,39,0.192624752,0.149382421,,,39,0.336191033,0.075471525,,,0.224853946
,,,,40,0.192624752,0.149382421,,,40,0.336191033,0.075471525,,,0.224853946
,,,,41,0.192624752,0.149382421,,,41,0.336191033,0.075471525,,,0.224853946
,,,,42,0.192624752,0.149382421,,,42,0.336191033,0.075471525,,,0.224853946
,,,,43,0.192624752,0.149382421,,,43,0.336191033,0.075471525,,,0.224853946
,,,,44,0.192624752,0.149382421,,,44,0.336191033,0.075471525,,,0.224853946
,,,,45,0.192624752,0.149382421,,,45,0.336191033,0.075471525,,,0.224853946
,,,,46,0.192624752,0.149382421,,,46,0.336191033,0.075471525,,,0.224853946
,,,,47,0.192624752,0.149382421,,,47,0.336191033,0.075471525,,,0.224853946
,,,,48,0.192624752,0.149382421,,,48,0.336191033,0.075471525,,,0.224853946
,,,,49,0.192624752,0.149382421,,,49,0.336191033,0.075471525,,,0.224853946
