,0,,,,RF,RMSE,,,,,,XG,RMSE,,,¼¯³ÉÑ§Ï°
0,0.959183673,,,,0,0.750200977,0.719580774,,,,,0,0.330747712,0.013499799,,0.733080573
1,0.040816327,,,,1,0.750200977,0.719580774,,,,,1,0.330747712,0.013499799,,0.733080573
,,,,,2,0.750200977,0.719580774,,,,,2,0.330747712,0.013499799,,0.733080573
,,,,,3,0.224297932,0.215142987,,,,,3,0.330747712,0.013499799,,0.228642786
,,,,,4,0.224297932,0.215142987,,,,,4,0.244851569,0.009993862,,0.225136849
,,,,,5,0.224297932,0.215142987,,,,,5,0.244851569,0.009993862,,0.225136849
,,,,,6,0.224297932,0.215142987,,,,,6,0.244851569,0.009993862,,0.225136849
,,,,,7,0.224297932,0.215142987,,,,,7,0.244851569,0.009993862,,0.225136849
,,,,,8,0.224297932,0.215142987,,,,,8,0.244851569,0.009993862,,0.225136849
,,,,,9,0.224297932,0.215142987,,,,,9,0.244851569,0.009993862,,0.225136849
,,,,,10,0.224297932,0.215142987,,,,,10,0.244851569,0.009993862,,0.225136849
,,,,,11,0.128144688,0.122914335,,,,,11,0.244851569,0.009993862,,0.132908196
,,,,,12,0.128144688,0.122914335,,,,,12,0.244851569,0.009993862,,0.132908196
,,,,,13,0.128144688,0.122914335,,,,,13,0.244851569,0.009993862,,0.132908196
,,,,,14,0.128144688,0.122914335,,,,,14,0.244851569,0.009993862,,0.132908196
,,,,,15,0.128144688,0.122914335,,,,,15,0.244851569,0.009993862,,0.132908196
,,,,,16,0.128144688,0.122914335,,,,,16,0.244851569,0.009993862,,0.132908196
,,,,,17,0.128144688,0.122914335,,,,,17,0.24422795,0.009968408,,0.132882743
,,,,,18,0.128144688,0.122914335,,,,,18,0.24422795,0.009968408,,0.132882743
,,,,,19,0.124436236,0.119357246,,,,,19,0.24422795,0.009968408,,0.129325654
,,,,,20,0.124436236,0.119357246,,,,,20,0.24422795,0.009968408,,0.129325654
,,,,,21,0.124436236,0.119357246,,,,,21,0.24422795,0.009968408,,0.129325654
,,,,,22,0.124436236,0.119357246,,,,,22,0.24422795,0.009968408,,0.129325654
,,,,,23,0.085563572,0.082071209,,,,,23,0.24422795,0.009968408,,0.092039617
,,,,,24,0.085563572,0.082071209,,,,,24,0.24422795,0.009968408,,0.092039617
,,,,,25,0.085563572,0.082071209,,,,,25,0.24422795,0.009968408,,0.092039617
,,,,,26,0.085563572,0.082071209,,,,,26,0.24422795,0.009968408,,0.092039617
,,,,,27,0.085563572,0.082071209,,,,,27,0.24422795,0.009968408,,0.092039617
,,,,,28,0.085563572,0.082071209,,,,,28,0.24422795,0.009968408,,0.092039617
,,,,,29,0.085563572,0.082071209,,,,,29,0.24422795,0.009968408,,0.092039617
,,,,,30,0.085563572,0.082071209,,,,,30,0.24422795,0.009968408,,0.092039617
,,,,,31,0.081559398,0.07823047,,,,,31,0.24422795,0.009968408,,0.088198878
,,,,,32,0.081559398,0.07823047,,,,,32,0.24422795,0.009968408,,0.088198878
,,,,,33,0.081559398,0.07823047,,,,,33,0.234491748,0.009571015,,0.087801485
,,,,,34,0.071739721,0.068811593,,,,,34,0.234491748,0.009571015,,0.078382608
,,,,,35,0.071739721,0.068811593,,,,,35,0.234491748,0.009571015,,0.078382608
,,,,,36,0.071739721,0.068811593,,,,,36,0.234491748,0.009571015,,0.078382608
,,,,,37,0.071739721,0.068811593,,,,,37,0.234491748,0.009571015,,0.078382608
,,,,,38,0.071739721,0.068811593,,,,,38,0.234491748,0.009571015,,0.078382608
,,,,,39,0.071739721,0.068811593,,,,,39,0.234491748,0.009571015,,0.078382608
,,,,,40,0.071739721,0.068811593,,,,,40,0.226738701,0.009254567,,0.07806616
,,,,,41,0.071739721,0.068811593,,,,,41,0.226738701,0.009254567,,0.07806616
,,,,,42,0.071739721,0.068811593,,,,,42,0.226738701,0.009254567,,0.07806616
,,,,,43,0.071739721,0.068811593,,,,,43,0.226738701,0.009254567,,0.07806616
,,,,,44,0.071739721,0.068811593,,,,,44,0.226738701,0.009254567,,0.07806616
,,,,,45,0.071739721,0.068811593,,,,,45,0.226738701,0.009254567,,0.07806616
,,,,,46,0.071739721,0.068811593,,,,,46,0.226738701,0.009254567,,0.07806616
,,,,,47,0.071638348,0.068714358,,,,,47,0.220321911,0.008992659,,0.077707017
,,,,,48,0.071638348,0.068714358,,,,,48,0.220321911,0.008992659,,0.077707017
,,,,,49,0.071638348,0.068714358,,,,,49,0.220321911,0.008992659,,0.077707017
