,0,,,RF,RMSE,,,,,XG,RMSE,,,,
0,0.469387755,,,0,15.13351227,7.103489059,,,,0,3.528238209,1.872125533,,,8.975614591
1,0.530612245,,,1,15.13351227,7.103489059,,,,1,3.528238209,1.872125533,,,8.975614591
,,,,2,15.13351227,7.103489059,,,,2,3.528238209,1.872125533,,,8.975614591
,,,,3,3.179417544,1.492380442,,,,3,3.528238209,1.872125533,,,3.364505975
,,,,4,3.179417544,1.492380442,,,,4,2.48073651,1.316308561,,,2.808689003
,,,,5,3.179417544,1.492380442,,,,5,2.48073651,1.316308561,,,2.808689003
,,,,6,3.179417544,1.492380442,,,,6,2.48073651,1.316308561,,,2.808689003
,,,,7,3.179417544,1.492380442,,,,7,2.48073651,1.316308561,,,2.808689003
,,,,8,3.179417544,1.492380442,,,,8,2.48073651,1.316308561,,,2.808689003
,,,,9,3.179417544,1.492380442,,,,9,2.48073651,1.316308561,,,2.808689003
,,,,10,3.009120239,1.412444931,,,,10,2.48073651,1.316308561,,,2.728753492
,,,,11,1.670158833,0.783952514,,,,11,2.48073651,1.316308561,,,2.100261075
,,,,12,1.670158833,0.783952514,,,,12,2.444463872,1.297061864,,,2.081014379
,,,,13,1.64383965,0.771598606,,,,13,2.444463872,1.297061864,,,2.06866047
,,,,14,1.585114792,0.744033862,,,,14,2.444463872,1.297061864,,,2.041095726
,,,,15,1.585114792,0.744033862,,,,15,2.444463872,1.297061864,,,2.041095726
,,,,16,1.585114792,0.744033862,,,,16,2.444463872,1.297061864,,,2.041095726
,,,,17,1.585114792,0.744033862,,,,17,2.444463872,1.297061864,,,2.041095726
,,,,18,1.500359398,0.704250697,,,,18,2.444463872,1.297061864,,,2.001312561
,,,,19,1.500359398,0.704250697,,,,19,2.221962964,1.179000213,,,1.88325091
,,,,20,1.500359398,0.704250697,,,,20,2.221962964,1.179000213,,,1.88325091
,,,,21,1.500359398,0.704250697,,,,21,2.221962964,1.179000213,,,1.88325091
,,,,22,1.500359398,0.704250697,,,,22,2.221962964,1.179000213,,,1.88325091
,,,,23,1.500359398,0.704250697,,,,23,2.221962964,1.179000213,,,1.88325091
,,,,24,1.500359398,0.704250697,,,,24,2.221962964,1.179000213,,,1.88325091
,,,,25,1.500359398,0.704250697,,,,25,2.221962964,1.179000213,,,1.88325091
,,,,26,1.500359398,0.704250697,,,,26,2.221962964,1.179000213,,,1.88325091
,,,,27,1.500359398,0.704250697,,,,27,2.221962964,1.179000213,,,1.88325091
,,,,28,1.500359398,0.704250697,,,,28,2.221962964,1.179000213,,,1.88325091
,,,,29,1.500359398,0.704250697,,,,29,2.221962964,1.179000213,,,1.88325091
,,,,30,1.500359398,0.704250697,,,,30,2.050088219,1.08780141,,,1.792052107
,,,,31,1.500359398,0.704250697,,,,31,2.050088219,1.08780141,,,1.792052107
,,,,32,1.493913544,0.701225091,,,,32,2.050088219,1.08780141,,,1.789026501
,,,,33,1.493913544,0.701225091,,,,33,2.050088219,1.08780141,,,1.789026501
,,,,34,1.493913544,0.701225091,,,,34,2.050088219,1.08780141,,,1.789026501
,,,,35,1.493913544,0.701225091,,,,35,2.050088219,1.08780141,,,1.789026501
,,,,36,1.493913544,0.701225091,,,,36,2.050088219,1.08780141,,,1.789026501
,,,,37,1.493913544,0.701225091,,,,37,2.050088219,1.08780141,,,1.789026501
,,,,38,1.493913544,0.701225091,,,,38,1.971417406,1.046057733,,,1.747282823
,,,,39,1.493913544,0.701225091,,,,39,1.971417406,1.046057733,,,1.747282823
,,,,40,1.493913544,0.701225091,,,,40,1.849042586,0.981124184,,,1.682349275
,,,,41,1.493913544,0.701225091,,,,41,1.849042586,0.981124184,,,1.682349275
,,,,42,1.493913544,0.701225091,,,,42,1.849042586,0.981124184,,,1.682349275
,,,,43,1.493913544,0.701225091,,,,43,1.849042586,0.981124184,,,1.682349275
,,,,44,1.493913544,0.701225091,,,,44,1.849042586,0.981124184,,,1.682349275
,,,,45,1.493913544,0.701225091,,,,45,1.849042586,0.981124184,,,1.682349275
,,,,46,1.493913544,0.701225091,,,,46,1.849042586,0.981124184,,,1.682349275
,,,,47,1.493913544,0.701225091,,,,47,1.849042586,0.981124184,,,1.682349275
,,,,48,1.493913544,0.701225091,,,,48,1.711134826,0.907948672,,,1.609173763
,,,,49,1.493913544,0.701225091,,,,49,1.711134826,0.907948672,,,1.609173763
