,真实值,RF_预测,RF_误差率
41,8.81901840490798,9.29178555983681,5.36%
25,14.715947980835,14.01555144063295,4.76%
122,10.3189493433396,10.59678359358653,2.69%
43,11.2214863870493,11.637606874995207,3.71%
18,11.9392185238784,11.8183360702469,1.01%
3,10.5790645879733,11.153199065090545,5.43%
100,12.9157820240623,12.407909452249658,3.93%
46,13.6698212407992,12.917262115796087,5.51%
30,15.1412044913236,14.122395970356594,6.73%
75,9.49848024316109,10.200269431172815,7.39%
115,11.1598975484815,11.54707600284437,3.47%
35,8.99349406812093,10.140593091572706,12.75%
90,9.99622783855149,10.391083187927542,3.95%
55,10.2535421327368,10.579137903971121,3.18%
10,13.3567662565905,12.442832167116933,6.84%
76,12.0807789397764,11.953481155038858,1.05%
26,10.752688172043,11.396432382518572,5.99%
77,14.1476880607315,13.608894516127645,3.81%
9,12.624466571835,12.150796353834348,3.75%
52,9.66275104206138,10.29937350966552,6.59%
113,13.3755719816966,12.68539636001236,5.16%
17,8.81226053639847,9.27099958449242,5.21%
92,10.4205433569036,10.984086479806415,5.41%
95,11.9305856832972,11.816522241402968,0.96%
0,14.2955563210472,13.652043558232146,4.50%
