,真实值,RF_预测,RF_误差率
99,12.701252236136,12.702492235751043,0.01%
5,13.5087719298246,13.50678783495936,0.01%
42,12.4777183600713,12.478950652476367,0.01%
120,14.018691588785,14.018691588784964,0.00%
97,14.1574585635359,14.157458563535906,0.00%
79,13.5182584269663,13.518524652135536,0.00%
66,8.64387245485978,8.643872454859777,0.00%
117,12.396694214876,12.39116946736008,0.04%
53,13.801537386443,13.803742350125999,0.02%
69,11.5384615384615,11.524776284831132,0.12%
29,10.0934579439252,10.09345794392517,0.00%
21,9.77076287110109,9.770762871101121,0.00%
67,12.0894983760375,12.099136600934521,0.08%
106,13.6506825341267,13.646503874857663,0.03%
83,13.9518660620858,13.952855934612662,0.01%
12,12.847965738758,12.847623112611496,0.00%
63,9.33333333333333,9.333333333333307,0.00%
2,13.0603600423579,13.058339215069987,0.02%
65,11.0578695171397,11.067127798784025,0.08%
47,14.4429160935351,14.442209052693872,0.00%
64,11.3845023870731,11.384551772012912,0.00%
80,9.93253373313343,9.932533733133413,0.00%
38,11.6194625998548,11.617455769656546,0.02%
23,8.97974780282767,8.985354114318573,0.06%
109,13.6602451838879,13.649737894856782,0.08%
94,12.5448028673835,12.539893594934043,0.04%
74,14.7260273972603,14.726027397260289,0.00%
61,10.7367641614217,10.738177525679534,0.01%
31,14.8616330714042,14.859708633819693,0.01%
104,12.770485987939,12.768698755023212,0.01%
118,10.9016999260902,10.903958257150537,0.02%
60,14.0089934278796,14.007946400849693,0.01%
49,13.8111888111888,13.811303037574161,0.00%
48,11.6279069767442,11.624508118313484,0.03%
82,13.869625520111,13.869625520111029,0.00%
40,14.2857142857143,14.285714285714255,0.00%
37,13.2135306553911,13.211096466286026,0.02%
56,14.5897699965671,14.589769996567146,0.00%
44,8.98661567877629,8.986615678776326,0.00%
84,9.98869204673954,9.98869204673952,0.00%
72,9.32622763608679,9.326227636086756,0.00%
58,15.1309078544713,15.130907854471353,0.00%
45,13.9421401185082,13.942189121344109,0.00%
121,11.0741971207087,11.096061248997037,0.20%
107,9.16030534351145,9.16030534351147,0.00%
78,14.0918580375783,14.090299120904946,0.01%
27,10.9097633136095,10.909763313609517,0.00%
108,12.9939480242079,12.992164214961779,0.01%
111,9.67007963594994,9.670079635949891,0.00%
24,10.7447202667655,10.744720266765453,0.00%
62,15.4080596004064,15.408059600406423,0.00%
96,13.3661625043968,13.365629151345892,0.00%
116,14.9965916837082,14.996591683708177,0.00%
39,9.82615268329554,9.826152683295515,0.00%
114,12.2478386167147,12.262714955805157,0.12%
6,12.3877917414722,12.385864241579073,0.02%
119,14.5797598627787,14.57971715085714,0.00%
68,12.6921701823382,12.687479742727868,0.04%
16,13.069586718474,13.068171929199336,0.01%
93,10.1010101010101,10.101010101010118,0.00%
4,11.3761467889908,11.375533749058159,0.01%
14,9.65543354789853,9.656528608888628,0.01%
33,12.0982304080896,12.107449956641695,0.08%
88,9.31913275009509,9.319132750095104,0.00%
7,12.779552715655,12.779552715654978,0.00%
32,10.4283054003724,10.42864217919567,0.00%
34,11.7796303008336,11.779667530480545,0.00%
54,10.2611940298507,10.261194029850687,0.00%
11,8.65051903114187,8.650519031141863,0.00%
57,14.3054119269217,14.304546951184841,0.01%
71,13.2228490832158,13.22239290119469,0.00%
89,14.4329896907216,14.432989690721579,0.00%
15,11.7881755531375,11.787647052435513,0.00%
8,10.4127928597992,10.419632494307606,0.07%
87,14.5697634556051,14.569820707755271,0.00%
