,真实值,RF_预测,RF_误差率
22,11.3138686131387,11.057459564671943,2.27%
102,11.4670549690572,11.309968153089397,1.37%
86,11.6916331750091,11.511292085139832,1.54%
98,11.4754098360656,11.33665969732503,1.21%
1,11.2297496318115,10.969625082952248,2.32%
36,9.1533180778032,9.649227513125124,5.42%
59,13.0788264404383,12.843493725632383,1.80%
73,12.2390208783297,11.792292840526075,3.65%
91,14.8717948717949,13.631874863773044,8.34%
110,9.83358547655068,10.368108366674855,5.44%
51,10.5869242199108,10.73638807679027,1.41%
20,11.0660272962007,10.967302403665087,0.89%
81,12.5538020086083,12.360651339970538,1.54%
50,15.0068212824011,14.17829114366662,5.52%
0,10.1580135440181,10.661281628165227,4.95%
112,11.7710974284679,11.707672056428295,0.54%
19,12.9249291784703,12.613775515467424,2.41%
101,15.2749490835031,14.503565333932142,5.05%
70,13.7295794230101,12.895519641795204,6.07%
28,9.49126803340927,9.893547810681326,4.24%
13,14.8514851485149,13.520896031564416,8.96%
123,12.9249291784703,12.41367108310419,3.96%
105,14.2311697327317,13.509248262453823,5.07%
103,8.47457627118644,9.586141996523837,13.12%
85,12.4056094929881,11.829830789740543,4.64%
