,RMSE
0,0.8386237248886041
1,0.8386237248886041
2,0.8386237248886041
3,0.8386237248886041
4,0.8386237248886041
5,0.812666181538676
6,0.812666181538676
7,0.812666181538676
8,0.812666181538676
9,0.812666181538676
10,0.812666181538676
11,0.812666181538676
12,0.812666181538676
13,0.7127147793855643
14,0.7112356390512828
15,0.7112356390512828
16,0.7112356390512828
17,0.7112356390512828
18,0.7112356390512828
19,0.7112356390512828
20,0.7112356390512828
21,0.7112356390512828
22,0.7112356390512828
23,0.6630212751648711
24,0.566102960801441
25,0.566102960801441
26,0.566102960801441
27,0.566102960801441
28,0.566102960801441
29,0.566102960801441
30,0.566102960801441
31,0.566102960801441
32,0.566102960801441
33,0.566102960801441
34,0.566102960801441
35,0.566102960801441
36,0.566102960801441
37,0.566102960801441
38,0.566102960801441
39,0.566102960801441
40,0.566102960801441
41,0.566102960801441
42,0.566102960801441
43,0.566102960801441
44,0.566102960801441
45,0.566102960801441
46,0.566102960801441
47,0.566102960801441
48,0.4198546396305507
49,0.4198546396305507
