,真实值,XG_预测,XG_误差率
122,10.3189493433396,10.611899375915527,2.84%
3,10.5790645879733,10.810660362243652,2.19%
46,13.6698212407992,13.327959060668945,2.50%
113,13.3755719816966,13.102848052978516,2.04%
52,9.66275104206138,10.051580429077148,4.02%
9,12.624466571835,12.185657501220703,3.48%
18,11.9392185238784,12.032280921936035,0.78%
41,8.81901840490798,9.190754890441895,4.22%
10,13.3567662565905,12.415063858032227,7.05%
77,14.1476880607315,13.346846580505371,5.66%
30,15.1412044913236,14.521060943603516,4.10%
90,9.99622783855149,10.068050384521484,0.72%
115,11.1598975484815,11.30367660522461,1.29%
100,12.9157820240623,12.341028213500977,4.45%
0,14.2955563210472,13.431126594543457,6.05%
26,10.752688172043,11.006538391113281,2.36%
35,8.99349406812093,9.41864013671875,4.73%
17,8.81226053639847,9.113245964050293,3.42%
43,11.2214863870493,11.84461498260498,5.55%
55,10.2535421327368,10.184810638427734,0.67%
25,14.715947980835,14.516253471374512,1.36%
76,12.0807789397764,12.102848052978516,0.18%
95,11.9305856832972,12.032088279724121,0.85%
75,9.49848024316109,9.77047061920166,2.86%
92,10.4205433569036,10.615272521972656,1.87%
