,真实值,XG_预测,XG_误差率
45,13.9421401185082,13.942381858825684,0.00%
27,10.9097633136095,10.909847259521484,0.00%
79,13.5182584269663,13.518264770507812,0.00%
80,9.93253373313343,9.93265151977539,0.00%
96,13.3661625043968,13.366247177124023,0.00%
12,12.847965738758,12.847923278808594,0.00%
97,14.1574585635359,14.157668113708496,0.00%
21,9.77076287110109,9.771174430847168,0.00%
34,11.7796303008336,11.779701232910156,0.00%
14,9.65543354789853,9.6554594039917,0.00%
37,13.2135306553911,13.213546752929688,0.00%
54,10.2611940298507,10.261274337768555,0.00%
16,13.069586718474,13.069607734680176,0.00%
82,13.869625520111,13.86964225769043,0.00%
29,10.0934579439252,10.093559265136719,0.00%
63,9.33333333333333,9.333548545837402,0.00%
65,11.0578695171397,11.057894706726074,0.00%
24,10.7447202667655,10.74466609954834,0.00%
120,14.018691588785,14.019095420837402,0.00%
87,14.5697634556051,14.569648742675781,0.00%
114,12.2478386167147,12.248157501220703,0.00%
23,8.97974780282767,8.979848861694336,0.00%
72,9.32622763608679,9.326333045959473,0.00%
42,12.4777183600713,12.477842330932617,0.00%
117,12.396694214876,12.396713256835938,0.00%
15,11.7881755531375,11.788455963134766,0.00%
89,14.4329896907216,14.433008193969727,0.00%
119,14.5797598627787,14.579748153686523,0.00%
58,15.1309078544713,15.130871772766113,0.00%
99,12.701252236136,12.701268196105957,0.00%
88,9.31913275009509,9.319108009338379,0.00%
61,10.7367641614217,10.736814498901367,0.00%
60,14.0089934278796,14.008665084838867,0.00%
93,10.1010101010101,10.101120948791504,0.00%
4,11.3761467889908,11.376059532165527,0.00%
49,13.8111888111888,13.811189651489258,0.00%
11,8.65051903114187,8.650531768798828,0.00%
94,12.5448028673835,12.544835090637207,0.00%
48,11.6279069767442,11.627836227416992,0.00%
53,13.801537386443,13.80159854888916,0.00%
104,12.770485987939,12.770259857177734,0.00%
116,14.9965916837082,14.996458053588867,0.00%
56,14.5897699965671,14.589723587036133,0.00%
6,12.3877917414722,12.387879371643066,0.00%
107,9.16030534351145,9.16048526763916,0.00%
121,11.0741971207087,11.074304580688477,0.00%
2,13.0603600423579,13.062650680541992,0.02%
38,11.6194625998548,11.619396209716797,0.00%
67,12.0894983760375,12.088472366333008,0.01%
62,15.4080596004064,15.408055305480957,0.00%
106,13.6506825341267,13.650554656982422,0.00%
84,9.98869204673954,9.988823890686035,0.00%
39,9.82615268329554,9.826227188110352,0.00%
31,14.8616330714042,14.86146354675293,0.00%
68,12.6921701823382,12.692069053649902,0.00%
69,11.5384615384615,11.538379669189453,0.00%
7,12.779552715655,12.779518127441406,0.00%
111,9.67007963594994,9.66995906829834,0.00%
33,12.0982304080896,12.098275184631348,0.00%
40,14.2857142857143,14.285724639892578,0.00%
109,13.6602451838879,13.660249710083008,0.00%
5,13.5087719298246,13.508590698242188,0.00%
108,12.9939480242079,12.993951797485352,0.00%
74,14.7260273972603,14.726011276245117,0.00%
83,13.9518660620858,13.95218276977539,0.00%
57,14.3054119269217,14.305464744567871,0.00%
32,10.4283054003724,10.428328514099121,0.00%
66,8.64387245485978,8.64394760131836,0.00%
64,11.3845023870731,11.384566307067871,0.00%
44,8.98661567877629,8.986763000488281,0.00%
118,10.9016999260902,10.902059555053711,0.00%
78,14.0918580375783,14.09195327758789,0.00%
47,14.4429160935351,14.442898750305176,0.00%
71,13.2228490832158,13.222827911376953,0.00%
8,10.4127928597992,10.412887573242188,0.00%
