,真实值,XG_预测,XG_误差率
103,8.47457627118644,9.578523635864258,13.03%
105,14.2311697327317,13.444957733154297,5.52%
28,9.49126803340927,9.894479751586914,4.25%
1,11.2297496318115,10.107621192932129,9.99%
91,14.8717948717949,14.440232276916504,2.90%
0,10.1580135440181,9.911538124084473,2.43%
19,12.9249291784703,12.518095970153809,3.15%
81,12.5538020086083,11.918062210083008,5.06%
85,12.4056094929881,11.829622268676758,4.64%
50,15.0068212824011,14.53002643585205,3.18%
13,14.8514851485149,13.98846435546875,5.81%
59,13.0788264404383,12.69522762298584,2.93%
20,11.0660272962007,10.058147430419922,9.11%
51,10.5869242199108,10.05483627319336,5.03%
73,12.2390208783297,11.792741775512695,3.65%
123,12.9249291784703,11.978925704956055,7.32%
112,11.7710974284679,11.607145309448242,1.39%
101,15.2749490835031,14.561695098876953,4.67%
102,11.4670549690572,10.542841911315918,8.06%
86,11.6916331750091,11.540836334228516,1.29%
110,9.83358547655068,9.89980697631836,0.67%
98,11.4754098360656,10.54593563079834,8.10%
36,9.1533180778032,9.641721725463867,5.34%
22,11.3138686131387,10.356592178344727,8.46%
70,13.7295794230101,13.407754898071289,2.34%
