,真实值,融合模型_预测,融合模型_误差率
92,10.4205433569036,10.740094480439012,3.07%
115,11.1598975484815,11.263173794798725,0.93%
90,9.99622783855149,10.201937508103896,2.06%
95,11.9305856832972,11.850967754601434,0.67%
76,12.0807789397764,12.117655738934678,0.31%
30,15.1412044913236,14.44594813640487,4.59%
46,13.6698212407992,13.25152927247592,3.06%
25,14.715947980835,14.179158496906952,3.65%
100,12.9157820240623,12.246805062733895,5.18%
77,14.1476880607315,13.378861935203988,5.43%
18,11.9392185238784,12.000902602276318,0.52%
75,9.49848024316109,9.866598207581672,3.88%
35,8.99349406812093,9.529051367426636,5.95%
113,13.3755719816966,13.071654951207716,2.27%
43,11.2214863870493,11.843480111409912,5.54%
9,12.624466571835,12.13293805880887,3.89%
52,9.66275104206138,10.084224029957742,4.36%
41,8.81901840490798,9.212747319125523,4.46%
3,10.5790645879733,10.758951107642696,1.70%
0,14.2955563210472,13.443316683061013,5.96%
55,10.2535421327368,10.507862225532485,2.48%
26,10.752688172043,11.117707758627986,3.39%
10,13.3567662565905,12.593629812751534,5.71%
122,10.3189493433396,10.554202309048025,2.28%
17,8.81226053639847,9.13711852517968,3.69%
