,真实值,融合模型_预测,融合模型_误差率
37,13.2135306553911,13.213130327254886,0.00%
33,12.0982304080896,12.099585866347113,0.01%
39,9.82615268329554,9.826562369138058,0.00%
107,9.16030534351145,9.161279139314061,0.01%
80,9.93253373313343,9.932634693112252,0.00%
31,14.8616330714042,14.861487764560263,0.00%
24,10.7447202667655,10.744357761678437,0.00%
11,8.65051903114187,8.65052994913355,0.00%
6,12.3877917414722,12.386999069164144,0.01%
87,14.5697634556051,14.569665130237112,0.00%
66,8.64387245485978,8.643936866109991,0.00%
111,9.67007963594994,9.669976292248561,0.00%
79,13.5182584269663,13.518314573843643,0.00%
72,9.32622763608679,9.326317987406227,0.00%
68,12.6921701823382,12.69021505308474,0.02%
69,11.5384615384615,11.536823242612234,0.01%
21,9.77076287110109,9.771115636597735,0.00%
109,13.6602451838879,13.660273825741315,0.00%
63,9.33333333333333,9.33351780119396,0.00%
117,12.396694214876,12.395796927168872,0.01%
108,12.9939480242079,12.993547318933292,0.00%
34,11.7796303008336,11.779636015626393,0.00%
119,14.5797598627787,14.579749826413977,0.00%
93,10.1010101010101,10.101105113394164,0.00%
29,10.0934579439252,10.093544790677926,0.00%
82,13.869625520111,13.869693104489327,0.00%
67,12.0894983760375,12.088880135603215,0.01%
118,10.9016999260902,10.902100511882699,0.00%
56,14.5897699965671,14.590020803888521,0.00%
74,14.7260273972603,14.726013579247287,0.00%
40,14.2857142857143,14.285723160724247,0.00%
45,13.9421401185082,13.942347324494612,0.00%
64,11.3845023870731,11.386101514735477,0.01%
121,11.0741971207087,11.075870589669389,0.02%
53,13.801537386443,13.801728779696205,0.00%
47,14.4429160935351,14.442901227909456,0.00%
65,11.0578695171397,11.058948678947676,0.01%
62,15.4080596004064,15.408055919041738,0.00%
106,13.6506825341267,13.650507038079601,0.00%
14,9.65543354789853,9.655455710264107,0.00%
60,14.0089934278796,14.00871199098754,0.00%
32,10.4283054003724,10.428509582379878,0.00%
116,14.9965916837082,14.996477143605913,0.00%
88,9.31913275009509,9.319046092877835,0.00%
4,11.3761467889908,11.376223029261043,0.00%
8,10.4127928597992,10.413317532830115,0.01%
15,11.7881755531375,11.788415904563731,0.00%
38,11.6194625998548,11.618361887628428,0.01%
114,12.2478386167147,12.249996416955653,0.02%
57,14.3054119269217,14.305457199189856,0.00%
104,12.770485987939,12.770261141868406,0.00%
7,12.779552715655,12.779523068614774,0.00%
89,14.4329896907216,14.433005550648563,0.00%
44,8.98661567877629,8.98674195452943,0.00%
42,12.4777183600713,12.477868629249068,0.00%
23,8.97974780282767,8.979834424713383,0.00%
54,10.2611940298507,10.261262865208861,0.00%
2,13.0603600423579,13.061125620948056,0.01%
61,10.7367641614217,10.737394877368262,0.01%
78,14.0918580375783,14.091817678865016,0.00%
27,10.9097633136095,10.909835267248347,0.00%
5,13.5087719298246,13.508333374840996,0.00%
96,13.3661625043968,13.366198521473914,0.00%
99,12.701252236136,12.701261606331787,0.00%
94,12.5448028673835,12.544596402104853,0.00%
83,13.9518660620858,13.952215521348936,0.00%
120,14.018691588785,14.019037730544198,0.00%
12,12.847965738758,12.847903979121034,0.00%
97,14.1574585635359,14.157638177969556,0.00%
58,15.1309078544713,15.130876927295434,0.00%
16,13.069586718474,13.069626384855603,0.00%
71,13.2228490832158,13.222896743108556,0.00%
49,13.8111888111888,13.811157186383353,0.00%
84,9.98869204673954,9.988880788124579,0.00%
48,11.6279069767442,11.628047503987501,0.00%
