,真实值,融合模型_预测,融合模型_误差率
112,11.7710974284679,11.66505152882133,0.90%
85,12.4056094929881,11.807221694949812,4.82%
73,12.2390208783297,11.684171143324852,4.53%
50,15.0068212824011,14.4209602674987,3.90%
22,11.3138686131387,10.399123491465557,8.09%
91,14.8717948717949,14.36161364895632,3.43%
1,11.2297496318115,10.295970684230346,8.32%
13,14.8514851485149,14.021049776431179,5.59%
28,9.49126803340927,9.857012052402704,3.85%
98,11.4754098360656,10.666607906988041,7.05%
51,10.5869242199108,10.22286891531083,3.44%
103,8.47457627118644,9.631280464635804,13.65%
36,9.1533180778032,9.6367237137151,5.28%
105,14.2311697327317,13.37521424256136,6.01%
20,11.0660272962007,10.251426998961128,7.36%
70,13.7295794230101,13.346813159817497,2.79%
19,12.9249291784703,12.360034546013338,4.37%
59,13.0788264404383,12.791598338075922,2.20%
102,11.4670549690572,10.53291774128313,8.15%
110,9.83358547655068,10.069690102391345,2.40%
123,12.9249291784703,11.96879325712516,7.40%
81,12.5538020086083,11.925838878925227,5.00%
0,10.1580135440181,10.183816516122898,0.25%
86,11.6916331750091,11.61776652395421,0.63%
101,15.2749490835031,14.447267517284203,5.42%
