,0,,,RF,RMSE,,,,XG,RMSE,,,
0,0.142857143,,,0,3.86750375,0.552499983,,,0,0.838623725,0.718820455,,1.271320439
1,0.857142857,,,1,3.86750375,0.552499983,,,1,0.838623725,0.718820455,,1.271320439
,,,,2,3.86750375,0.552499983,,,2,0.838623725,0.718820455,,1.271320439
,,,,3,1.352326034,0.19318924,,,3,0.838623725,0.718820455,,0.912009696
,,,,4,1.352326034,0.19318924,,,4,0.838623725,0.718820455,,0.912009696
,,,,5,1.352326034,0.19318924,,,5,0.812666182,0.696571129,,0.889760369
,,,,6,1.352326034,0.19318924,,,6,0.812666182,0.696571129,,0.889760369
,,,,7,1.352326034,0.19318924,,,7,0.812666182,0.696571129,,0.889760369
,,,,8,1.352326034,0.19318924,,,8,0.812666182,0.696571129,,0.889760369
,,,,9,1.352326034,0.19318924,,,9,0.812666182,0.696571129,,0.889760369
,,,,10,1.352326034,0.19318924,,,10,0.812666182,0.696571129,,0.889760369
,,,,11,1.118748425,0.159821044,,,11,0.812666182,0.696571129,,0.856392173
,,,,12,1.089595327,0.15565632,,,12,0.812666182,0.696571129,,0.852227448
,,,,13,0.967965874,0.138280701,,,13,0.712714779,0.610898484,,0.749179185
,,,,14,0.967965874,0.138280701,,,14,0.711235639,0.609630649,,0.74791135
,,,,15,0.877563185,0.125366044,,,15,0.711235639,0.609630649,,0.734996693
,,,,16,0.877563185,0.125366044,,,16,0.711235639,0.609630649,,0.734996693
,,,,17,0.877563185,0.125366044,,,17,0.711235639,0.609630649,,0.734996693
,,,,18,0.873612576,0.124801672,,,18,0.711235639,0.609630649,,0.734432321
,,,,19,0.873612576,0.124801672,,,19,0.711235639,0.609630649,,0.734432321
,,,,20,0.873612576,0.124801672,,,20,0.711235639,0.609630649,,0.734432321
,,,,21,0.873612576,0.124801672,,,21,0.711235639,0.609630649,,0.734432321
,,,,22,0.873612576,0.124801672,,,22,0.711235639,0.609630649,,0.734432321
,,,,23,0.873612576,0.124801672,,,23,0.663021275,0.568304045,,0.693105717
,,,,24,0.873612576,0.124801672,,,24,0.566102961,0.48523119,,0.610032862
,,,,25,0.873612576,0.124801672,,,25,0.566102961,0.48523119,,0.610032862
,,,,26,0.873612576,0.124801672,,,26,0.566102961,0.48523119,,0.610032862
,,,,27,0.873612576,0.124801672,,,27,0.566102961,0.48523119,,0.610032862
,,,,28,0.873612576,0.124801672,,,28,0.566102961,0.48523119,,0.610032862
,,,,29,0.873612576,0.124801672,,,29,0.566102961,0.48523119,,0.610032862
,,,,30,0.873612576,0.124801672,,,30,0.566102961,0.48523119,,0.610032862
,,,,31,0.873612576,0.124801672,,,31,0.566102961,0.48523119,,0.610032862
,,,,32,0.873612576,0.124801672,,,32,0.566102961,0.48523119,,0.610032862
,,,,33,0.873612576,0.124801672,,,33,0.566102961,0.48523119,,0.610032862
,,,,34,0.873612576,0.124801672,,,34,0.566102961,0.48523119,,0.610032862
,,,,35,0.873612576,0.124801672,,,35,0.566102961,0.48523119,,0.610032862
,,,,36,0.873612576,0.124801672,,,36,0.566102961,0.48523119,,0.610032862
,,,,37,0.873612576,0.124801672,,,37,0.566102961,0.48523119,,0.610032862
,,,,38,0.873612576,0.124801672,,,38,0.566102961,0.48523119,,0.610032862
,,,,39,0.873612576,0.124801672,,,39,0.566102961,0.48523119,,0.610032862
,,,,40,0.873612576,0.124801672,,,40,0.566102961,0.48523119,,0.610032862
,,,,41,0.873612576,0.124801672,,,41,0.566102961,0.48523119,,0.610032862
,,,,42,0.873612576,0.124801672,,,42,0.566102961,0.48523119,,0.610032862
,,,,43,0.864031255,0.123432913,,,43,0.566102961,0.48523119,,0.608664103
,,,,44,0.864031255,0.123432913,,,44,0.566102961,0.48523119,,0.608664103
,,,,45,0.864031255,0.123432913,,,45,0.566102961,0.48523119,,0.608664103
,,,,46,0.864031255,0.123432913,,,46,0.566102961,0.48523119,,0.608664103
,,,,47,0.864031255,0.123432913,,,47,0.566102961,0.48523119,,0.608664103
,,,,48,0.864031255,0.123432913,,,48,0.41985464,0.359875465,,0.483308378
,,,,49,0.864031255,0.123432913,,,49,0.41985464,0.359875465,,0.483308378
